image_name,bbox_id,class_id,class_name,yolo_line,match_method,iou,cx,cy,w,h,attr_truncated,attr_occluded,attr_ignore,image_shot_type
A01,A01#0,0,철심부,0,exact_same_class,1.0,0.535062,0.352875,0.444125,0.09925,false,false,false,전체
A01,A01#1,0,철심부,1,exact_same_class,1.0,0.567625,0.928563,0.436625,0.085458,false,false,false,전체
A01,A01#2,1,에폭시 표면,2,exact_same_class,1.0,0.410156,0.649333,0.1735,0.449917,false,false,false,전체
A01,A01#3,1,에폭시 표면,3,exact_same_class,1.0,0.576844,0.644792,0.1735,0.449917,false,false,false,전체
A01,A01#4,1,에폭시 표면,4,exact_same_class,1.0,0.725031,0.632042,0.110562,0.449917,false,true,false,전체
A02,A02#0,0,철심부,0,exact_same_class,1.0,0.485281,0.775917,0.760938,0.14575,true,false,false,클로즈업
A02,A02#1,2,몰드변압기 접촉부,1,exact_same_class,1.0,0.311109,0.404771,0.128406,0.507292,false,false,false,클로즈업
A02,A02#2,2,몰드변압기 접촉부,2,exact_same_class,1.0,0.889687,0.395646,0.128438,0.513792,false,true,false,클로즈업
A03,A03#0,0,철심부,0,exact_same_class,1.0,0.506172,0.746313,0.978906,0.210375,false,true,false,클로즈업
A03,A03#1,2,몰드변압기 접촉부,1,exact_same_class,1.0,0.519469,0.620646,0.060188,0.184875,false,false,false,클로즈업
A03,A03#2,2,몰드변압기 접촉부,2,exact_same_class,1.0,0.782438,0.623854,0.060187,0.184875,false,false,false,클로즈업
A04,A04#0,1,에폭시 표면,0,exact_same_class,1.0,0.551891,0.405688,0.196031,0.469042,false,false,false,중거리
A04,A04#1,1,에폭시 표면,1,exact_same_class,1.0,0.765937,0.388896,0.23,0.469042,false,false,false,중거리
A04,A04#2,1,에폭시 표면,2,exact_same_class,1.0,0.943281,0.362396,0.113438,0.523542,true,false,false,중거리
A04,A04#3,0,철심부,3,exact_same_class,1.0,0.731375,0.736292,0.53725,0.126583,false,false,false,중거리
A04,A04#4,0,철심부,4,exact_same_class,1.0,0.727125,0.046667,0.538625,0.093333,true,false,false,중거리
A07,A07#0,11,몰드타입 PT,0,exact_same_class,1.0,0.180984,0.606979,0.242469,0.622042,false,true,false,클로즈업
A07,A07#1,11,몰드타입 PT,1,exact_same_class,1.0,0.494187,0.598354,0.2425,0.676708,false,true,false,클로즈업
A07,A07#2,11,몰드타입 PT,2,exact_same_class,1.0,0.809078,0.582375,0.242469,0.71225,false,true,false,클로즈업
A09,A09#0,9,비한류형 전력퓨즈,0,exact_same_class,1.0,0.310422,0.535937,0.065594,0.367042,false,false,false,중거리
A09,A09#1,9,비한류형 전력퓨즈,1,exact_same_class,1.0,0.505812,0.551896,0.065562,0.367042,false,false,false,중거리
A09,A09#2,9,비한류형 전력퓨즈,2,exact_same_class,1.0,0.686125,0.530958,0.065563,0.367,false,false,false,중거리
A11,A11#0,13,케이블헤드,0,exact_same_class,1.0,0.298469,0.846042,0.044375,0.289583,true,false,false,중거리
A11,A11#1,13,케이블헤드,1,exact_same_class,1.0,0.486672,0.848812,0.044406,0.289625,true,false,false,중거리
A11,A11#2,13,케이블헤드,2,exact_same_class,1.0,0.669734,0.842458,0.044406,0.29325,true,false,false,중거리
A12,A12#0,15,CT,0,exact_same_class,1.0,0.522516,0.420271,0.137281,0.237708,false,false,false,클로즈업
A12,A12#1,15,CT,1,exact_same_class,1.0,0.803641,0.427146,0.078531,0.237708,false,true,false,클로즈업
A14,A14#0,16,SA,0,exact_same_class,1.0,0.249625,0.853333,0.064188,0.244083,false,false,false,중거리
A14,A14#1,16,SA,1,exact_same_class,1.0,0.490094,0.837875,0.064187,0.244083,false,false,false,중거리
A14,A14#2,16,SA,2,exact_same_class,1.0,0.716187,0.816042,0.064187,0.244083,false,false,false,중거리
A15,A15#0,18,MCCB,0,exact_same_class,1.0,0.313078,0.696667,0.246594,0.252917,false,false,false,클로즈업
A15,A15#1,18,MCCB,1,exact_same_class,1.0,0.680547,0.907354,0.246594,0.185292,true,false,false,클로즈업
A15,A15#2,18,MCCB,2,exact_same_class,1.0,0.671859,0.625021,0.246594,0.252875,false,false,false,클로즈업
A15,A15#3,27,MCCB 접촉부,3,exact_same_class,1.0,0.211516,0.696667,0.046656,0.248667,false,false,false,클로즈업
A15,A15#4,27,MCCB 접촉부,4,exact_same_class,1.0,0.414219,0.696688,0.046625,0.248708,false,false,false,클로즈업
A15,A15#5,27,MCCB 접촉부,5,exact_same_class,1.0,0.575437,0.627125,0.046625,0.248667,false,false,false,클로즈업
A15,A15#6,27,MCCB 접촉부,6,exact_same_class,1.0,0.769844,0.61975,0.046625,0.248667,false,false,false,클로즈업
A15,A15#7,27,MCCB 접촉부,7,exact_same_class,1.0,0.780906,0.910521,0.046625,0.178958,true,false,false,클로즈업
A15,A15#8,27,MCCB 접촉부,8,exact_same_class,1.0,0.58175,0.907875,0.046625,0.18425,true,false,false,클로즈업
A18,A18#0,27,MCCB 접촉부,0,exact_same_class,1.0,0.313984,0.534958,0.061031,0.3125,false,false,false,클로즈업
A18,A18#1,27,MCCB 접촉부,1,exact_same_class,1.0,0.632078,0.554625,0.061031,0.3125,false,false,false,클로즈업
A18,A18#2,27,MCCB 접촉부,2,exact_same_class,1.0,0.647844,0.875792,0.061063,0.248417,true,false,false,클로즈업
