annotator,case_id,scope,skip_reason,class_if_known,note
# 이 파일은 annotator_A 님 것입니다. annotator 칸에 annotator_A 이라고 적으세요,,,,,
# 아래 예시 다음 줄부터 한 줄씩 추가하세요. # 로 시작하는 줄은 무시됩니다,,,,,
# scope       image = 이 장 전체를 못 하겠다 / object = 일부만 못 하겠다,,,,,
# skip_reason rule_unclear · not_visible · unknown_part · other,,,,,
# 예시,A08,object,unknown_part,,왼쪽 원통이 변압기인지 PT인지 모르겠음
annotator_A,A05,image,other,,"MOF반의 변압기,변류기의 구분 기준이 모호함"
annotator_A,A06,image,other,,"MOF반의 변압기,변류기의 구분 기준이 모호함"
annotator_A,A08,image,not_visible,,부품 모두 절반 이상이 가려짐
annotator_A,A10,image,other,,"MOF반의 변압기,변류기의 구분 기준이 모호함"
annotator_A,A13,image,not_visible,,잘려서 잘 안 보임
annotator_A,A16,image,unknown_part,,화질이 안 좋아서 잘 안보임
annotator_A,A17,image,unknown_part,,무슨 부품인지 모르겠음
annotator_A,B01_다른클래스겹침,image,not_visible,,가려지거나 잘려서 잘 안보임.
annotator_A,B01_잘림-2변이상,image,not_visible,,부품 모두 절반 이상이 가려짐
annotator_A,B02_다른클래스겹침,image,unknown_part,,무슨 부품인지 모르겠음
annotator_A,B02_잘림-2변이상,image,not_visible,,부품 모두 절반 이상이 가려짐
annotator_A,B03_잘림-2변이상,image,other,,"MOF반의 변압기,변류기의 구분 기준이 모호함"
