image_name,bbox_id,class_id,class_name,yolo_line,match_method,iou,cx,cy,w,h,attr_truncated,attr_occluded,attr_ignore,image_shot_type
A01,A01#0,1,에폭시 표면,0,exact_same_class,1.0,0.405312,0.644813,0.19375,0.467708,false,false,false,클로즈업
A01,A01#1,2,몰드변압기 접촉부,1,exact_same_class,1.0,0.368016,0.206792,0.065719,0.200417,false,false,false,클로즈업
A01,A01#2,0,철심부,2,exact_same_class,1.0,0.543391,0.335229,0.472156,0.124708,false,false,false,클로즈업
A01,A01#3,1,에폭시 표면,3,exact_same_class,1.0,0.729953,0.638104,0.136969,0.467708,true,false,false,클로즈업
A01,A01#4,1,에폭시 표면,4,exact_same_class,1.0,0.575719,0.638104,0.19375,0.467708,false,false,false,클로즈업
A01,A01#5,2,몰드변압기 접촉부,5,exact_same_class,1.0,0.448781,0.170396,0.065688,0.200458,false,false,false,클로즈업
A01,A01#6,2,몰드변압기 접촉부,6,exact_same_class,1.0,0.526719,0.194146,0.065688,0.200458,false,false,false,클로즈업
A02,A02#0,2,몰드변압기 접촉부,0,exact_same_class,1.0,0.310094,0.399125,0.133562,0.565917,false,false,false,클로즈업
A02,A02#1,0,철심부,1,exact_same_class,1.0,0.481047,0.801479,0.759469,0.181208,true,false,false,클로즈업
A02,A02#2,2,몰드변압기 접촉부,2,exact_same_class,1.0,0.88975,0.400792,0.133562,0.562417,false,true,false,클로즈업
A03,A03#0,0,철심부,0,exact_same_class,1.0,0.443594,0.782187,0.887187,0.181208,true,true,false,클로즈업
A09,A09#0,6,LA,0,exact_same_class,1.0,0.503344,0.526729,0.076813,0.286542,false,false,false,클로즈업
A09,A09#1,6,LA,1,exact_same_class,1.0,0.670391,0.510396,0.076844,0.286542,false,true,false,클로즈업
A09,A09#2,6,LA,2,exact_same_class,1.0,0.317891,0.521563,0.076844,0.286542,false,true,false,클로즈업
A11,A11#0,13,케이블헤드,0,exact_same_class,1.0,0.489297,0.849125,0.048969,0.30175,true,false,false,클로즈업
A11,A11#1,13,케이블헤드,1,exact_same_class,1.0,0.297297,0.849042,0.048969,0.301917,true,false,false,클로즈업
A11,A11#2,13,케이블헤드,2,exact_same_class,1.0,0.665797,0.851688,0.048969,0.296625,true,false,false,클로즈업
A12,A12#0,15,CT,0,exact_same_class,1.0,0.527937,0.420625,0.146875,0.276583,false,true,false,클로즈업
A12,A12#1,15,CT,1,exact_same_class,1.0,0.802984,0.411167,0.091594,0.2765,false,false,true,클로즈업
