annotator,case_id,scope,skip_reason,class_if_known,note
# 이 파일은 annotator_C 님 것입니다. annotator 칸에 annotator_C 이라고 적으세요,,,,,
# 아래 예시 다음 줄부터 한 줄씩 추가하세요. # 로 시작하는 줄은 무시됩니다,,,,,
# scope       image = 이 장 전체를 못 하겠다 / object = 일부만 못 하겠다,,,,,
# skip_reason rule_unclear · not_visible · unknown_part · other,,,,,
# 예시,annotator_C,object,unknown_part,,왼쪽 원통이 변압기인지 PT인지 모르겠음
annotator_C,A04,image,other,,이미지 구별 불가
annotator_C,A05,image,other,,"MOF반의 변압기,변류기의 구분 기준이 모호함"
annotator_C,A06,image,other,,이미지 구별 불가
annotator_C,A07,image,other,,"변압기,변류기의 구분 기준이 모호함"
annotator_C,A08,image,other,,"MOF반의 변압기,변류기의 구분 기준이 모호함"
annotator_C,A10,image,other,,"MOF반의 변압기,변류기의 구분 기준이 모호함"
annotator_C,A13,image,other,,이미지 구별 불가
annotator_C,A14,image,other,,이미지 구별 불가
annotator_C,A17,image,other,,이미지 구별 불가
annotator_C,B01_잘림-2변이상,image,other,,"MOF반의 변압기,변류기의 구분 기준이 모호함 [수정 2026-09-01: case_id A22 -> B01_잘림-2변이상 · 라벨러 확인]"
annotator_C,B02_잘림-2변이상,image,other,,"MOF반의 변압기,변류기의 구분 기준이 모호함 [수정 2026-09-01: case_id A26 -> B02_잘림-2변이상 · 라벨러 확인]"
annotator_C,B03_잘림-2변이상,image,other,,"MOF반의 변압기,변류기의 구분 기준이 모호함 [수정 2026-09-01: case_id A29 -> B03_잘림-2변이상 · 라벨러 확인]"
