image_name,bbox_id,class_id,class_name,yolo_line,match_method,iou,cx,cy,w,h,attr_truncated,attr_occluded,attr_ignore,image_shot_type
A01,A01#0,1,에폭시 표면,0,exact_same_class,1.0,0.725625,0.628937,0.13375,0.436042,true,false,false,중거리
A01,A01#1,0,철심부,1,exact_same_class,1.0,0.564453,0.91825,0.456656,0.083667,false,false,false,중거리
A01,A01#2,1,에폭시 표면,2,exact_same_class,1.0,0.573109,0.638354,0.168344,0.436042,false,false,false,중거리
A01,A01#3,0,철심부,3,exact_same_class,1.0,0.546766,0.335,0.456656,0.083667,false,true,false,중거리
A01,A01#4,1,에폭시 표면,4,exact_same_class,1.0,0.400203,0.645396,0.168344,0.436042,false,false,false,중거리
A02,A02#0,2,몰드변압기 접촉부,0,exact_same_class,1.0,0.317609,0.410917,0.121094,0.507333,false,false,false,클로즈업
A02,A02#1,2,몰드변압기 접촉부,1,exact_same_class,1.0,0.884437,0.403562,0.121063,0.522042,false,true,false,클로즈업
A02,A02#2,0,철심부,2,exact_same_class,1.0,0.492531,0.776188,0.750813,0.160375,true,false,false,클로즈업
A03,A03#0,0,철심부,0,exact_same_class,1.0,0.501172,0.781354,0.988219,0.236042,false,true,false,클로즈업
A04,A04#0,1,에폭시 표면,0,exact_same_class,1.0,0.76525,0.365792,0.217625,0.507417,false,false,false,중거리
A04,A04#1,0,철심부,1,exact_same_class,1.0,0.729953,0.730604,0.540094,0.138375,false,false,false,중거리
A04,A04#2,0,철심부,2,exact_same_class,1.0,0.727187,0.058562,0.535625,0.100375,true,false,false,중거리
A04,A04#3,1,에폭시 표면,3,exact_same_class,1.0,0.552672,0.401479,0.201281,0.446542,false,false,false,중거리
A04,A04#4,1,에폭시 표면,4,exact_same_class,1.0,0.942063,0.359542,0.115875,0.507417,true,false,false,중거리
A05,A05#0,7,변압기,0,exact_same_class,1.0,0.483484,0.652521,0.221719,0.399375,false,true,false,중거리
A06,A06#0,7,변압기,0,exact_same_class,1.0,0.514547,0.470125,0.552656,0.86475,false,true,false,클로즈업
A07,A07#0,11,몰드타입 PT,0,exact_same_class,1.0,0.172953,0.610062,0.246844,0.656208,false,true,false,클로즈업
A07,A07#1,11,몰드타입 PT,1,exact_same_class,1.0,0.495281,0.610062,0.246875,0.656208,false,true,false,클로즈업
A07,A07#2,11,몰드타입 PT,2,exact_same_class,1.0,0.80425,0.569604,0.246875,0.743375,false,true,false,클로즈업
A09,A09#0,9,비한류형 전력퓨즈,0,exact_same_class,1.0,0.314859,0.5325,0.071531,0.318667,false,false,false,중거리
A09,A09#1,9,비한류형 전력퓨즈,1,exact_same_class,1.0,0.500781,0.533542,0.071562,0.318667,false,false,false,중거리
A09,A09#2,9,비한류형 전력퓨즈,2,exact_same_class,1.0,0.678453,0.538792,0.071531,0.318667,false,false,false,중거리
A10,A10#0,7,변압기,0,exact_same_class,1.0,0.477594,0.550833,0.447312,0.785083,false,true,false,클로즈업
A11,A11#0,13,케이블헤드,0,exact_same_class,1.0,0.66825,0.916146,0.055813,0.154958,false,false,false,중거리
A11,A11#1,13,케이블헤드,1,exact_same_class,1.0,0.297563,0.918313,0.055813,0.154958,false,false,false,중거리
A11,A11#2,13,케이블헤드,2,exact_same_class,1.0,0.4835,0.918229,0.055813,0.154958,false,false,false,중거리
A12,A12#0,11,몰드타입 PT,0,exact_same_class,1.0,0.520828,0.435542,0.151719,0.2065,false,true,false,클로즈업
A12,A12#1,11,몰드타입 PT,1,exact_same_class,1.0,0.808141,0.439208,0.073156,0.2065,false,true,false,클로즈업
A13,A13#0,14,VCB접촉부,0,exact_same_class,1.0,0.208328,0.480083,0.066031,0.060833,,false,,클로즈업
A13,A13#1,14,VCB접촉부,1,exact_same_class,1.0,0.653297,0.497896,0.066031,0.060792,,false,,클로즈업
A15,A15#0,27,MCCB 접촉부,0,exact_same_class,1.0,0.215719,0.700417,0.040875,0.235833,false,false,false,클로즈업
A15,A15#1,27,MCCB 접촉부,1,exact_same_class,1.0,0.413875,0.701958,0.040875,0.235833,false,false,false,클로즈업
A15,A15#2,27,MCCB 접촉부,2,exact_same_class,1.0,0.578187,0.628583,0.040875,0.235833,false,false,false,클로즈업
A15,A15#3,27,MCCB 접촉부,3,exact_same_class,1.0,0.781797,0.624396,0.040906,0.235875,false,false,false,클로즈업
A15,A15#4,27,MCCB 접촉부,4,exact_same_class,1.0,0.781797,0.912562,0.040906,0.174875,true,false,false,클로즈업
A15,A15#5,27,MCCB 접촉부,5,exact_same_class,1.0,0.58525,0.916229,0.040875,0.167542,true,false,false,클로즈업
A15,A15#6,18,MCCB,6,exact_same_class,1.0,0.314031,0.69675,0.243813,0.247417,false,false,false,클로즈업
A15,A15#7,18,MCCB,7,exact_same_class,1.0,0.681953,0.626479,0.243781,0.247375,false,false,false,클로즈업
A15,A15#8,18,MCCB,8,exact_same_class,1.0,0.683516,0.909687,0.243781,0.180625,true,false,false,클로즈업
A16,A16#0,18,MCCB,0,exact_same_class,1.0,0.485375,0.600312,0.330188,0.341708,false,false,false,클로즈업
A16,A16#1,27,MCCB 접촉부,1,exact_same_class,1.0,0.354906,0.606604,0.06125,0.289292,false,false,false,클로즈업
A16,A16#2,27,MCCB 접촉부,2,exact_same_class,1.0,0.623,0.606583,0.06125,0.289333,false,false,false,클로즈업
A18,A18#0,27,MCCB 접촉부,0,exact_same_class,1.0,0.31425,0.54525,0.059125,0.312917,false,false,false,클로즈업
A18,A18#1,27,MCCB 접촉부,1,exact_same_class,1.0,0.632156,0.551333,0.059125,0.312917,false,false,false,클로즈업
A18,A18#2,27,MCCB 접촉부,2,exact_same_class,1.0,0.643062,0.884208,0.059125,0.231583,true,false,false,클로즈업
A18,A18#3,27,MCCB 접촉부,3,exact_same_class,1.0,0.304688,0.884208,0.059125,0.231583,true,false,false,클로즈업
A18,A18#4,18,MCCB,4,exact_same_class,1.0,0.474781,0.551312,0.376563,0.327458,false,false,false,클로즈업
A18,A18#5,18,MCCB,5,exact_same_class,1.0,0.477516,0.882396,0.376594,0.235208,false,false,false,클로즈업
B01_같은클래스겹침,B01_같은클래스겹침#0,2,몰드변압기 접촉부,0,exact_same_class,1.0,0.091391,0.507625,0.182781,0.812583,false,false,false,클로즈업
B01_같은클래스겹침,B01_같은클래스겹침#1,2,몰드변압기 접촉부,1,exact_same_class,1.0,0.495703,0.573187,0.182781,0.754458,false,true,false,클로즈업
B01_같은클래스겹침,B01_같은클래스겹침#2,2,몰드변압기 접촉부,2,exact_same_class,1.0,0.784078,0.573708,0.148156,0.63425,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#0,27,MCCB 접촉부,0,exact_same_class,1.0,0.336469,0.85325,0.034563,0.21225,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#1,18,MCCB,1,exact_same_class,1.0,0.249203,0.284479,0.216469,0.228042,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#2,18,MCCB,2,exact_same_class,1.0,0.246469,0.580438,0.2165,0.228042,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#3,18,MCCB,3,exact_same_class,1.0,0.235562,0.84725,0.2165,0.228,false,true,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#4,18,MCCB,4,exact_same_class,1.0,0.623062,0.833917,0.2165,0.228,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#5,18,MCCB,5,exact_same_class,1.0,0.632156,0.557396,0.2165,0.228042,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#6,18,MCCB,6,exact_same_class,1.0,0.654406,0.259042,0.235562,0.228,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#7,27,MCCB 접촉부,7,exact_same_class,1.0,0.154594,0.282667,0.034563,0.21225,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#8,27,MCCB 접촉부,8,exact_same_class,1.0,0.342766,0.29875,0.034594,0.21225,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#9,27,MCCB 접촉부,9,exact_same_class,1.0,0.54875,0.258917,0.034563,0.21225,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#10,27,MCCB 접촉부,10,exact_same_class,1.0,0.751563,0.263104,0.034563,0.212208,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#11,27,MCCB 접촉부,11,exact_same_class,1.0,0.731125,0.561833,0.034563,0.21225,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#12,27,MCCB 접촉부,12,exact_same_class,1.0,0.541656,0.553458,0.034563,0.21225,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#13,27,MCCB 접촉부,13,exact_same_class,1.0,0.531438,0.83125,0.034563,0.21225,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#14,27,MCCB 접촉부,14,exact_same_class,1.0,0.720906,0.832292,0.034563,0.21225,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#15,27,MCCB 접촉부,15,exact_same_class,1.0,0.335688,0.572333,0.034563,0.21225,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#16,27,MCCB 접촉부,16,exact_same_class,1.0,0.158812,0.563937,0.034563,0.212208,false,false,false,클로즈업
B01_같은클래스밀집,B01_같은클래스밀집#17,27,MCCB 접촉부,17,exact_same_class,1.0,0.156438,0.844875,0.034563,0.21225,false,true,false,클로즈업
B01_다른클래스겹침,B01_다른클래스겹침#0,24,변류기 접촉부,0,exact_same_class,1.0,0.151344,0.429771,0.074688,0.165625,false,false,false,클로즈업
B01_다른클래스겹침,B01_다른클래스겹침#1,24,변류기 접촉부,1,exact_same_class,1.0,0.532219,0.466458,0.074687,0.165583,false,false,false,클로즈업
B01_다른클래스겹침,B01_다른클래스겹침#2,24,변류기 접촉부,2,exact_same_class,1.0,0.852187,0.489521,0.074687,0.165625,false,false,false,클로즈업
B01_작은객체,B01_작은객체#0,18,MCCB,0,exact_same_class,1.0,0.544078,0.177229,0.327156,0.337375,false,false,false,클로즈업
B01_작은객체,B01_작은객체#1,18,MCCB,1,exact_same_class,1.0,0.558156,0.563438,0.322437,0.288125,false,false,false,클로즈업
