image,box_index,panel_id,class_id,class_name,quarantine_reason,detail,pair_with,status,resolved_by,resolution,source_audit
A1_B3_P1_2022-05-24_IR1_00019,3,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.629),3+5,제외확정,김주형,큰쪽_유지 (REV-003 · Q01),DEC-016
A1_B3_P1_2022-05-24_IR1_00019,5,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.629),3+5,해제,김주형,큰쪽_유지 (REV-003 · Q01),DEC-016
A1_B3_P1_2022-05-24_IR1_00038,3,P1,0,철심부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.780),3+5,해제,김주형,작은쪽_유지 (REV-003 · Q02),DEC-016
A1_B3_P1_2022-05-24_IR1_00038,5,P1,0,철심부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.780),3+5,제외확정,김주형,작은쪽_유지 (REV-003 · Q02),DEC-016
A1_B3_P1_2022-05-24_IR1_00039,4,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.469),4+5,제외확정,김주형,작은쪽_유지 (REV-003 · Q03),DEC-016
A1_B3_P1_2022-05-24_IR1_00039,5,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.469),4+5,해제,김주형,작은쪽_유지 (REV-003 · Q03),DEC-016
A1_B3_P1_2022-05-24_IR1_00057,1,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.645),1+4,제외확정,김주형,작은쪽_유지 (REV-003 · Q04),DEC-016
A1_B3_P1_2022-05-24_IR1_00057,4,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.645),1+4,해제,김주형,작은쪽_유지 (REV-003 · Q04),DEC-016
A1_B3_P1_2022-05-24_IR1_00067,5,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.845),5+6,해제,김주형,작은쪽_유지 (REV-003 · Q05),DEC-016
A1_B3_P1_2022-05-24_IR1_00067,6,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.845),5+6,제외확정,김주형,작은쪽_유지 (REV-003 · Q05),DEC-016
A1_B3_P1_2022-05-24_IR1_00069,4,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.695),4+5,제외확정,김주형,작은쪽_유지 (REV-003 · Q06),DEC-016
A1_B3_P1_2022-05-24_IR1_00069,5,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.695),4+5,해제,김주형,작은쪽_유지 (REV-003 · Q06),DEC-016
A1_B3_P1_2022-05-24_IR1_00103,1,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.665),1+2,제외확정,김주형,작은쪽_유지 (REV-003 · Q07),DEC-016
A1_B3_P1_2022-05-24_IR1_00103,2,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.665),1+2,해제,김주형,작은쪽_유지 (REV-003 · Q07),DEC-016
A2_B1_P1_2022-06-03_IR1_00045,2,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.505),2+3,해제,김주형,큰쪽_유지 (REV-003 · Q08),DEC-016
A2_B1_P1_2022-06-03_IR1_00045,3,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.505),2+3,제외확정,김주형,큰쪽_유지 (REV-003 · Q08),DEC-016
A2_B1_P1_2022-06-03_IR1_00138,1,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.502),1+5,해제,김주형,큰쪽_유지 (REV-003 · Q09),DEC-016
A2_B1_P1_2022-06-03_IR1_00138,5,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.502),1+5,제외확정,김주형,큰쪽_유지 (REV-003 · Q09),DEC-016
A2_B1_P1_2022-06-03_IR1_00150,0,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.685),0+5,제외확정,김주형,작은쪽_유지 (REV-003 · Q10),DEC-016
A2_B1_P1_2022-06-03_IR1_00150,5,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.685),0+5,해제,김주형,작은쪽_유지 (REV-003 · Q10),DEC-016
A3_B2_P1_2022-06-17_IR1_00006,0,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.670),0+2,해제,김주형,큰쪽_유지 (REV-003 · Q11),DEC-016
A3_B2_P1_2022-06-17_IR1_00006,2,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.670),0+2,제외확정,김주형,큰쪽_유지 (REV-003 · Q11),DEC-016
A3_B3_P1_2022-06-17_IR1_00026,3,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.647),3+4,해제,김주형,큰쪽_유지 (REV-003 · Q12),DEC-016
A3_B3_P1_2022-06-17_IR1_00026,4,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.647),3+4,제외확정,김주형,큰쪽_유지 (REV-003 · Q12),DEC-016
A3_B3_P1_2022-06-17_IR1_00053,0,P1,1,에폭시 표면,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.177),0+2,제외확정,김주형,큰쪽_유지 (REV-003 · Q13),DEC-016
A3_B3_P1_2022-06-17_IR1_00053,2,P1,1,에폭시 표면,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.177),0+2,해제,김주형,큰쪽_유지 (REV-003 · Q13),DEC-016
A3_B3_P1_2022-06-17_IR1_00062,1,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.663),1+4,제외확정,김주형,작은쪽_유지 (REV-003 · Q14),DEC-016
A3_B3_P1_2022-06-17_IR1_00062,4,P1,2,몰드변압기 접촉부,duplicate_same_instance,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.663),1+4,해제,김주형,작은쪽_유지 (REV-003 · Q14),DEC-016
