panel,panel_id,delivered_as,image_id,camera,session,cluster_id,target_classes,reference_rgb,selection_reason,priority,panel_provisional,agreement_subset,overlap,annotator_pair
P1-TR반,P1,images/P1/A1_B1_P1_2022-07-19_IR3_00004.jpg,P1/A1_B1_P1_2022-07-19_IR3_00004,IR3,P1|A1_B1_2022-07-19_IR3_,P1-C6129,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,50,true,seed_A/seed_B
P1-TR반,P1,images/P1/A1_B3_P1_2022-07-19_IR2_01463.jpg,P1/A1_B3_P1_2022-07-19_IR2_01463,IR2,P1|A1_B3_2022-07-19_IR2_,P1-C14097,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,50,true,seed_A/seed_B
P1-TR반,P1,images/P1/A2_B1_P1_2022-07-11_IR2_5_00286.jpg,P1/A2_B1_P1_2022-07-11_IR2_5_00286,IR2,P1|A2_B1_2022-07-11_IR2_5,P1-C23314,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,50,true,seed_A/seed_B
P1-TR반,P1,images/P1/A2_B1_P1_2022-07-11_IR3_09952.jpg,P1/A2_B1_P1_2022-07-11_IR3_09952,IR3,P1|A2_B1_2022-07-11_IR3_,P1-C32507,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,50,true,seed_A/seed_B
P1-TR반,P1,images/P1/A3_B3_P1_2022-07-15_IR3_00679.jpg,P1/A3_B3_P1_2022-07-15_IR3_00679,IR3,P1|A3_B3_2022-07-15_IR3_,P1-C40755,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,50,true,seed_A/seed_B
P10-ACB&MCCB반,P10,images/P10/A1_B1_P10_2022-05-12_IR1_00002.jpg,P10/A1_B1_P10_2022-05-12_IR1_00002,IR1,P10|A1_B1_2022-05-12_IR1_,P10-C98352,콘덴서 MCCB MCCB 접촉부,reference_rgb/P10/A1_B1_P10_2022-05-12_IR1_00002_rgb.jpg,라벨 0건 클래스 확인,High,0,50,true,seed_A/seed_B
P10-ACB&MCCB반,P10,images/P10/A1_B1_P10_2022-07-19_IR3_00891.jpg,P10/A1_B1_P10_2022-07-19_IR3_00891,IR3,P10|A1_B1_2022-07-19_IR3_,P10-C99751,콘덴서 MCCB MCCB 접촉부,없음,라벨 0건 클래스 확인,High,0,50,true,seed_A/seed_B
P10-ACB&MCCB반,P10,images/P10/A2_B1_P10_2022-07-11_IR2_1_00140.jpg,P10/A2_B1_P10_2022-07-11_IR2_1_00140,IR2,P10|A2_B1_2022-07-11_IR2_1,P10-C101902,콘덴서 MCCB MCCB 접촉부,없음,라벨 0건 클래스 확인,High,0,50,true,seed_A/seed_B
P10-ACB&MCCB반,P10,images/P10/A2_B1_P10_2022-07-11_IR3_01621.jpg,P10/A2_B1_P10_2022-07-11_IR3_01621,IR3,P10|A2_B1_2022-07-11_IR3_,P10-C104746,콘덴서 MCCB MCCB 접촉부,없음,라벨 0건 클래스 확인,High,0,50,true,seed_A/seed_B
P10-ACB&MCCB반,P10,images/P10/A2_B1_P10_2022-07-11_IR3_02823.jpg,P10/A2_B1_P10_2022-07-11_IR3_02823,IR3,P10|A2_B1_2022-07-11_IR3_,P10-C105195,콘덴서 MCCB MCCB 접촉부,없음,라벨 0건 클래스 확인,High,0,50,true,seed_A/seed_B
