panel,panel_id,delivered_as,image_id,camera,session,cluster_id,target_classes,reference_rgb,selection_reason,priority,panel_provisional,assignee,agreement_subset,overlap,annotator_pair
P1-TR반,P1,images/P1/A1_B1_P1_2022-07-19_IR3_00004.jpg,P1/A1_B1_P1_2022-07-19_IR3_00004,IR3,P1|A1_B1_2022-07-19_IR3_,P1-C6129,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,김주형,50,true,김주형/검증자_미정
P1-TR반,P1,images/P1/A1_B1_P1_2022-07-25_IR2_00001.jpg,P1/A1_B1_P1_2022-07-25_IR2_00001,IR2,P1|A1_B1_2022-07-25_IR2_,P1-C7869,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,김주형,0,false,
P1-TR반,P1,images/P1/A1_B2_P1_2022-07-19_IR2_00085.jpg,P1/A1_B2_P1_2022-07-19_IR2_00085,IR2,P1|A1_B2_2022-07-19_IR2_,P1-C9327,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,김주형,0,false,
P1-TR반,P1,images/P1/A1_B2_P1_2022-07-19_IR3_00104.jpg,P1/A1_B2_P1_2022-07-19_IR3_00104,IR3,P1|A1_B2_2022-07-19_IR3_,P1-C11347,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,김주형,0,false,
P1-TR반,P1,images/P1/A1_B2_P1_2022-07-19_IR3_01993.jpg,P1/A1_B2_P1_2022-07-19_IR3_01993,IR3,P1|A1_B2_2022-07-19_IR3_,P1-C12313,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,김주형,0,false,
P1-TR반,P1,images/P1/A1_B3_P1_2022-07-19_IR2_00002.jpg,P1/A1_B3_P1_2022-07-19_IR2_00002,IR2,P1|A1_B3_2022-07-19_IR2_,P1-C13407,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,김주형,0,false,
P1-TR반,P1,images/P1/A1_B3_P1_2022-07-19_IR2_01463.jpg,P1/A1_B3_P1_2022-07-19_IR2_01463,IR2,P1|A1_B3_2022-07-19_IR2_,P1-C14097,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,김주형,50,true,김주형/검증자_미정
P1-TR반,P1,images/P1/A1_B3_P1_2022-07-19_IR3_00561.jpg,P1/A1_B3_P1_2022-07-19_IR3_00561,IR3,P1|A1_B3_2022-07-19_IR3_,P1-C16332,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,김주형,0,false,
P1-TR반,P1,images/P1/A2_B1_P1_2022-07-11_IR2_1_00076.jpg,P1/A2_B1_P1_2022-07-11_IR2_1_00076,IR2,P1|A2_B1_2022-07-11_IR2_1,P1-C18408,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,김주형,0,false,
P1-TR반,P1,images/P1/A2_B1_P1_2022-07-11_IR2_2_00078.jpg,P1/A2_B1_P1_2022-07-11_IR2_2_00078,IR2,P1|A2_B1_2022-07-11_IR2_2,P1-C19782,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,김주형,0,false,
P1-TR반,P1,images/P1/A2_B1_P1_2022-07-11_IR2_3_00301.jpg,P1/A2_B1_P1_2022-07-11_IR2_3_00301,IR2,P1|A2_B1_2022-07-11_IR2_3,P1-C21125,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,김주형,0,false,
P1-TR반,P1,images/P1/A2_B1_P1_2022-07-11_IR2_4_00141.jpg,P1/A2_B1_P1_2022-07-11_IR2_4_00141,IR2,P1|A2_B1_2022-07-11_IR2_4,P1-C22530,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,김주형,0,false,
P1-TR반,P1,images/P1/A2_B1_P1_2022-07-11_IR2_5_00286.jpg,P1/A2_B1_P1_2022-07-11_IR2_5_00286,IR2,P1|A2_B1_2022-07-11_IR2_5,P1-C23314,철심부 에폭시 표면 몰드변압기 접촉부 소음기부착형 전력퓨즈,없음,반·촬영조건 대표,Medium,0,김주형,50,true,김주형/검증자_미정
