panel,panel_id,camera,session,target_classes,unseen_classes,image_id,rel_path,cluster_id,cluster_size,has_rgb_pair,reason,priority,panel_provisional,class_on_hold
P10-ACB&MCCB반,P10,IR1,P10|A1_B1_2022-05-12_IR1_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A1_B1_P10_2022-05-12_IR1_00002,P10-ACB&MCCB반/A1_B1_P10_2022-05-12_IR1_00002.jpg,P10-C98352,1,1,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A1_B1_2022-07-19_IR2_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A1_B1_P10_2022-07-19_IR2_00034,P10-ACB&MCCB반/A1_B1_P10_2022-07-19_IR2_00034.jpg,P10-C98426,7,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A1_B1_2022-07-19_IR2_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A1_B1_P10_2022-07-19_IR2_00299,P10-ACB&MCCB반/A1_B1_P10_2022-07-19_IR2_00299.jpg,P10-C98532,3,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A1_B1_2022-07-19_IR2_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A1_B1_P10_2022-07-19_IR2_01587,P10-ACB&MCCB반/A1_B1_P10_2022-07-19_IR2_01587.jpg,P10-C99176,1,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A1_B1_2022-07-19_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A1_B1_P10_2022-07-19_IR3_00001,P10-ACB&MCCB반/A1_B1_P10_2022-07-19_IR3_00001.jpg,P10-C99410,1,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A1_B1_2022-07-19_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A1_B1_P10_2022-07-19_IR3_00891,P10-ACB&MCCB반/A1_B1_P10_2022-07-19_IR3_00891.jpg,P10-C99751,1,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A1_B1_2022-07-19_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A1_B1_P10_2022-07-19_IR3_00225,P10-ACB&MCCB반/A1_B1_P10_2022-07-19_IR3_00225.jpg,P10-C99473,11,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A1_B1_2022-07-25_IR2_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A1_B1_P10_2022-07-25_IR2_00001,P10-ACB&MCCB반/A1_B1_P10_2022-07-25_IR2_00001.jpg,P10-C100163,2,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A1_B1_2022-07-27_IR2_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A1_B1_P10_2022-07-27_IR2_00004,P10-ACB&MCCB반/A1_B1_P10_2022-07-27_IR2_00004.jpg,P10-C100601,2,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A1_B3_2022-07-19_IR2_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A1_B3_P10_2022-07-19_IR2_00192,P10-ACB&MCCB반/A1_B3_P10_2022-07-19_IR2_00192.jpg,P10-C100965,2,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A1_B3_2022-07-19_IR2_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A1_B3_P10_2022-07-19_IR2_02706,P10-ACB&MCCB반/A1_B3_P10_2022-07-19_IR2_02706.jpg,P10-C101700,7,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A1_B3_2022-07-19_IR2_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A1_B3_P10_2022-07-19_IR2_00248,P10-ACB&MCCB반/A1_B3_P10_2022-07-19_IR2_00248.jpg,P10-C100985,5,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A2_B1_2022-07-11_IR2_1,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A2_B1_P10_2022-07-11_IR2_1_00140,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR2_1_00140.jpg,P10-C101902,4,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A2_B1_2022-07-11_IR2_2,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A2_B1_P10_2022-07-11_IR2_2_00129,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR2_2_00129.jpg,P10-C102115,5,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A2_B1_2022-07-11_IR2_3,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A2_B1_P10_2022-07-11_IR2_3_00353,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR2_3_00353.jpg,P10-C102492,5,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A2_B1_2022-07-11_IR2_4,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A2_B1_P10_2022-07-11_IR2_4_00247,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR2_4_00247.jpg,P10-C102812,16,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A2_B1_2022-07-11_IR2_5,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A2_B1_P10_2022-07-11_IR2_5_00332,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR2_5_00332.jpg,P10-C103323,7,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A2_B1_2022-07-11_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A2_B1_P10_2022-07-11_IR3_00023,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR3_00023.jpg,P10-C103818,1,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A2_B1_2022-07-11_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A2_B1_P10_2022-07-11_IR3_01689,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR3_01689.jpg,P10-C104755,2,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A2_B1_2022-07-11_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A2_B1_P10_2022-07-11_IR3_02694,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR3_02694.jpg,P10-C105118,1,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A2_B1_2022-07-11_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A2_B1_P10_2022-07-11_IR3_01621,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR3_01621.jpg,P10-C104746,1,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A2_B1_2022-07-11_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A2_B1_P10_2022-07-11_IR3_01695,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR3_01695.jpg,P10-C104761,1,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A2_B1_2022-07-11_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A2_B1_P10_2022-07-11_IR3_02695,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR3_02695.jpg,P10-C105119,1,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A2_B1_2022-07-11_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A2_B1_P10_2022-07-11_IR3_02698,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR3_02698.jpg,P10-C105121,1,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A2_B1_2022-07-11_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A2_B1_P10_2022-07-11_IR3_02823,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR3_02823.jpg,P10-C105195,1,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A3_B2_2022-07-15_IR2_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A3_B2_P10_2022-07-15_IR2_00174,P10-ACB&MCCB반/A3_B2_P10_2022-07-15_IR2_00174.jpg,P10-C105227,2,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR2,P10|A3_B2_2022-07-15_IR2_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A3_B2_P10_2022-07-15_IR2_02392,P10-ACB&MCCB반/A3_B2_P10_2022-07-15_IR2_02392.jpg,P10-C105779,4,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A3_B2_2022-07-15_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A3_B2_P10_2022-07-15_IR3_00004,P10-ACB&MCCB반/A3_B2_P10_2022-07-15_IR3_00004.jpg,P10-C105888,1,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A3_B2_2022-07-15_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A3_B2_P10_2022-07-15_IR3_00685,P10-ACB&MCCB반/A3_B2_P10_2022-07-15_IR3_00685.jpg,P10-C106256,2,0,라벨 0건 클래스 확인,High,0,
P10-ACB&MCCB반,P10,IR3,P10|A3_B2_2022-07-15_IR3_,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,콘덴서 MCCB MCCB 접촉부 ACB 접촉부,P10/A3_B2_P10_2022-07-15_IR3_00800,P10-ACB&MCCB반/A3_B2_P10_2022-07-15_IR3_00800.jpg,P10-C106320,1,0,라벨 0건 클래스 확인,High,0,
P2-LBS&LA반,P2,IR1,P2|A1_B1_2022-05-12_IR1_,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,P2/A1_B1_P2_2022-05-12_IR1_00001,P2-LBS&LA반/A1_B1_P2_2022-05-12_IR1_00001.jpg,P2-C45721,1,1,라벨 0건 클래스 확인,High,0,
P2-LBS&LA반,P2,IR1,P2|A1_B1_2022-05-12_IR1_,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,P2/A1_B1_P2_2022-05-12_IR1_00040,P2-LBS&LA반/A1_B1_P2_2022-05-12_IR1_00040.jpg,P2-C45758,1,1,라벨 0건 클래스 확인,High,0,
P2-LBS&LA반,P2,IR1,P2|A1_B1_2022-06-03_IR1_,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,P2/A1_B1_P2_2022-06-03_IR1_00002,P2-LBS&LA반/A1_B1_P2_2022-06-03_IR1_00002.jpg,P2-C45780,1,1,라벨 0건 클래스 확인,High,0,
P2-LBS&LA반,P2,IR1,P2|A1_B1_2022-06-17_IR1_,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,P2/A1_B1_P2_2022-06-17_IR1_00002,P2-LBS&LA반/A1_B1_P2_2022-06-17_IR1_00002.jpg,P2-C45818,3,1,라벨 0건 클래스 확인,High,0,
P2-LBS&LA반,P2,IR2,P2|A1_B1_2022-07-19_IR2_,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,P2/A1_B1_P2_2022-07-19_IR2_00007,P2-LBS&LA반/A1_B1_P2_2022-07-19_IR2_00007.jpg,P2-C45851,1,0,라벨 0건 클래스 확인,High,0,
P2-LBS&LA반,P2,IR2,P2|A1_B1_2022-07-19_IR2_,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,P2/A1_B1_P2_2022-07-19_IR2_00630,P2-LBS&LA반/A1_B1_P2_2022-07-19_IR2_00630.jpg,P2-C46071,3,0,라벨 0건 클래스 확인,High,0,
P2-LBS&LA반,P2,IR2,P2|A1_B1_2022-07-19_IR2_,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,P2/A1_B1_P2_2022-07-19_IR2_01649,P2-LBS&LA반/A1_B1_P2_2022-07-19_IR2_01649.jpg,P2-C46440,2,0,라벨 0건 클래스 확인,High,0,
P2-LBS&LA반,P2,IR2,P2|A1_B1_2022-07-19_IR2_,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,LBS 한류형 전력퓨즈 LA 케이블헤드 LBS 1차측 접촉부 LBS 2차측 접촉부,P2/A1_B1_P2_2022-07-19_IR2_00400,P2-LBS&LA반/A1_B1_P2_2022-07-19_IR2_00400.jpg,P2-C45994,1,0,라벨 0건 클래스 확인,High,0,
