group,case_id,panel,panel_id,camera,session,image_id,rel_path,source,has_rgb_pair,target_class,difficulty_flags,existing_label,reason
A_본대상,A01,P1-TR반,P1,IR3,P1|A1_B1_2022-07-19_IR3_,P1/A1_B1_P1_2022-07-19_IR3_00004,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-19_IR3_00004.jpg,3-가공,0,몰드변압기 접촉부,,없음,몰드변압기 접촉부 단위 검증 · 시드 후보
A_본대상,A02,P1-TR반,P1,IR2,P1|A1_B1_2022-07-25_IR2_,P1/A1_B1_P1_2022-07-25_IR2_00001,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-25_IR2_00001.jpg,3-가공,0,몰드변압기 접촉부,,없음,몰드변압기 접촉부 단위 검증 · 시드 후보
A_본대상,A03,P1-TR반,P1,IR2,P1|A1_B2_2022-07-19_IR2_,P1/A1_B2_P1_2022-07-19_IR2_00085,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR2_00085.jpg,3-가공,0,몰드변압기 접촉부,,없음,몰드변압기 접촉부 단위 검증 · 시드 후보
A_본대상,A04,P1-TR반,P1,IR3,P1|A1_B2_2022-07-19_IR3_,P1/A1_B2_P1_2022-07-19_IR3_00104,P1-TR반/New Folder With Items/A1_B2_P1_2022-07-19_IR3_00104.jpg,3-가공,0,몰드변압기 접촉부,,없음,몰드변압기 접촉부 단위 검증 · 시드 후보
A_본대상,A05,P3-MOF반,P3,IR1,P3|A2_B1_2022-06-03_IR1_,P3/A2_B1_P3_2022-06-03_IR1_00001,P3-MOF반/A2_B1_P3_2022-06-03_IR1_00001.jpg,3-가공,1,변류기 접촉부,,없음,변류기 접촉부 단위 검증 · 시드 후보
A_본대상,A06,P3-MOF반,P3,IR2,P3|A2_B1_2022-07-11_IR2_,P3/A2_B1_P3_2022-07-11_IR2_00001,P3-MOF반/A2_B1_P3_2022-07-11_IR2_00001.jpg,3-가공,1,변류기 접촉부,,없음,변류기 접촉부 단위 검증 · 시드 후보
A_본대상,A07,P3-MOF반,P3,IR2,P3|A3_B1_2022-07-01_IR2_,P3/A3_B1_P3_2022-07-01_IR2_00004,P3-MOF반/A3_B1_P3_2022-07-01_IR2_00004.jpg,3-가공,1,변류기 접촉부,,없음,변류기 접촉부 단위 검증 · 시드 후보
A_본대상,A08,P4-MOF&PT반,P4,IR1,P4|A1_B1_2022-05-12_IR1_,P4/A1_B1_P4_2022-05-12_IR1_00001,P4-MOF&PT반/A1_B1_P4_2022-05-12_IR1_00001.jpg,3-가공,1,변류기 접촉부,,없음,변류기 접촉부 단위 검증 · 시드 후보
A_본대상,A09,P4-MOF&PT반,P4,IR1,P4|A1_B1_2022-06-03_IR1_,P4/A1_B1_P4_2022-06-03_IR1_00002,P4-MOF&PT반/A1_B1_P4_2022-06-03_IR1_00002.jpg,3-가공,1,변류기 접촉부,,없음,변류기 접촉부 단위 검증 · 시드 후보
A_본대상,A10,P4-MOF&PT반,P4,IR1,P4|A1_B1_2022-06-17_IR1_,P4/A1_B1_P4_2022-06-17_IR1_00001,P4-MOF&PT반/A1_B1_P4_2022-06-17_IR1_00001.jpg,3-가공,1,변류기 접촉부,,없음,변류기 접촉부 단위 검증 · 시드 후보
A_본대상,A11,P6-VCB반,P6,IR1,P6|A1_B1_2022-05-12_IR1_,P6/A1_B1_P6_2022-05-12_IR1_00002,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00002.jpg,3-가공,1,케이블헤드,,없음,케이블헤드 단위 검증 · 시드 후보
A_본대상,A12,P6-VCB반,P6,IR1,P6|A1_B1_2022-06-17_IR1_,P6/A1_B1_P6_2022-06-17_IR1_00001,P6-VCB반/A1_B1_P6_2022-06-17_IR1_00001.jpg,3-가공,1,케이블헤드,,없음,케이블헤드 단위 검증 · 시드 후보
