panel_id,camera,split,images
P1,IR1,test,118
P1,IR1,train,550
P1,IR1,val,118
P1,IR2,test,3455
P1,IR2,train,16312
P1,IR2,val,3467
P1,IR3,test,3217
P1,IR3,train,15168
P1,IR3,val,3316
P10,IR1,test,13
P10,IR1,train,50
P10,IR1,val,11
P10,IR2,test,768
P10,IR2,train,3735
P10,IR2,val,797
P10,IR3,test,413
P10,IR3,train,2076
P10,IR3,val,470
P2,IR1,test,34
P2,IR1,train,153
P2,IR1,val,33
P2,IR2,test,287
P2,IR2,train,1146
P2,IR2,val,274
P2,IR3,test,284
P2,IR3,train,1211
P2,IR3,val,255
P3,IR1,test,12
P3,IR1,train,44
P3,IR1,val,10
P3,IR2,test,48
P3,IR2,train,256
P3,IR2,val,58
P3,IR3,test,254
P3,IR3,train,1254
P3,IR3,val,227
P4,IR1,test,28
P4,IR1,train,129
P4,IR1,val,27
P4,IR2,test,157
P4,IR2,train,767
P4,IR2,val,188
P4,IR3,test,165
P4,IR3,train,690
P4,IR3,val,137
P5,IR1,test,24
P5,IR1,train,114
P5,IR1,val,26
P5,IR2,test,285
P5,IR2,train,1378
P5,IR2,val,272
P5,IR3,test,451
P5,IR3,train,2048
P5,IR3,val,417
P6,IR1,test,58
P6,IR1,train,261
P6,IR1,val,53
P6,IR2,test,694
P6,IR2,train,3278
P6,IR2,val,699
P6,IR3,test,707
P6,IR3,train,2974
P6,IR3,val,671
P7,IR1,test,6
P7,IR1,train,23
P7,IR1,val,5
P7,IR2,test,67
P7,IR2,train,418
P7,IR2,val,72
P7,IR3,test,146
P7,IR3,train,628
P7,IR3,val,141
P8,IR1,test,29
P8,IR1,train,139
P8,IR1,val,30
P8,IR2,test,400
P8,IR2,train,1578
P8,IR2,val,395
P8,IR3,test,456
P8,IR3,train,2014
P8,IR3,val,472
P9,IR1,test,61
P9,IR1,train,289
P9,IR1,val,64
P9,IR2,test,2074
P9,IR2,train,9473
P9,IR2,val,1888
P9,IR3,test,1396
P9,IR3,train,6470
P9,IR3,val,1359
