cluster_id,panel_id,size,representative_rel_path
C83751,P9,109,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_00981.jpg
C83134,P9,88,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_3_00217.jpg
C85229,P9,81,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_8_00310.jpg
C38736,P1,77,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR2_01979.jpg
C68619,P7,62,P7-VCB&CT반/A1_B1_P7_2022-07-25_IR2_00647.jpg
C50941,P3,55,P3-MOF반/A3_B1_P3_2022-07-01_IR3_00089.jpg
C50044,P3,54,P3-MOF반/A2_B1_P3_2022-07-11_IR3_00509.jpg
C83103,P9,53,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_3_00144.jpg
C65450,P6,47,P6-VCB반/A2_B1_P6_2022-07-11_IR3_03145.jpg
C44403,P1,46,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03716.jpg
C96283,P9,46,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_01888.jpg
C77301,P9,43,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_00033.jpg
C62567,P6,42,P6-VCB반/A1_B2_P6_2022-07-19_IR3_00252.jpg
C13844,P1,41,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_00866.jpg
C18809,P1,40,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_00641.jpg
C46953,P2,40,P2-LBS&LA반/A1_B1_P2_2022-07-19_IR3_00991.jpg
C65554,P6,40,P6-VCB반/A3_B1_P6_2022-07-01_IR3_00121.jpg
C96109,P9,40,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_01220.jpg
C83325,P9,37,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_3_00726.jpg
C91375,P9,36,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_03258.jpg
C18852,P1,35,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_00702.jpg
C44330,P1,35,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03521.jpg
C91316,P9,34,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_03096.jpg
C56159,P5,33,P5-PF&PT반/A1_B2_P5_2022-07-19_IR3_01165.jpg
C65715,P6,33,P6-VCB반/A3_B1_P6_2022-07-01_IR3_00530.jpg
C90189,P9,33,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_00469.jpg
C58200,P5,32,P5-PF&PT반/A2_B1_P5_2022-07-11_IR3_01226.jpg
C85,P1,31,P1-TR반/A3_B4_P1_2022-07-15_IR2_08696.jpg
C58081,P5,31,P5-PF&PT반/A2_B1_P5_2022-07-11_IR3_00917.jpg
C68995,P7,31,P7-VCB&CT반/A1_B1_P7_2022-07-27_IR2_00615.jpg
C83571,P9,31,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_00472.jpg
C96183,P9,31,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_01366.jpg
C18807,P1,30,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_00639.jpg
C18833,P1,30,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_00673.jpg
C71138,P8,30,P8-ACB반/A2_B1_P8_2022-07-11_IR2_2_00595.jpg
C74471,P8,30,P8-ACB반/A3_B3_P8_2022-07-15_IR2_00653.jpg
C83729,P9,30,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_00919.jpg
C27788,P1,29,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_01240.jpg
C83530,P9,29,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_00344.jpg
C14172,P1,28,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_01561.jpg
C19377,P1,28,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_1_01496.jpg
C55125,P5,28,P5-PF&PT반/A1_B2_P5_2022-07-19_IR2_05040.jpg
C83848,P9,28,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_01300.jpg
C35895,P1,27,P1-TR반/New Folder With Items/A3_B2_P1_2022-07-15_IR2_03920.jpg
C44791,P1,27,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_04946.jpg
C45054,P1,27,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_06119.jpg
C99946,P10,27,P10-ACB&MCCB반/A1_B1_P10_2022-07-19_IR3_01401.jpg
C77806,P9,27,P9-MCCB반/A1_B2_P9_2022-07-19_IR2_01590.jpg
C90472,P9,27,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_01143.jpg
C29927,P1,26,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_05113.jpg
C99456,P10,26,P10-ACB&MCCB반/A1_B1_P10_2022-07-19_IR3_00147.jpg
C54047,P5,26,P5-PF&PT반/A1_B2_P5_2022-07-19_IR2_00328.jpg
C58277,P5,26,P5-PF&PT반/A3_B1_P5_2022-07-01_IR3_00001.jpg
C87359,P9,26,P9-MCCB반/A2_B1_P9_2022-07-11_IR3_03717.jpg
C91253,P9,26,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_02855.jpg
C91291,P9,26,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_03009.jpg
C96251,P9,26,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_01698.jpg
C6231,P1,25,P1-TR반/New Folder With Items/A1_B1_P1_2022-07-19_IR3_00206.jpg
C17746,P1,25,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR3_04299.jpg
C20909,P1,25,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_2_01976.jpg
C31347,P1,25,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_07831.jpg
C99435,P10,25,P10-ACB&MCCB반/A1_B1_P10_2022-07-19_IR3_00042.jpg
C51407,P3,25,P3-MOF반/A3_B1_P3_2022-07-01_IR3_01160.jpg
C58779,P5,25,P5-PF&PT반/A3_B1_P5_2022-07-01_IR3_01500.jpg
C13460,P1,24,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_00146.jpg
C30630,P1,24,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_06463.jpg
C31157,P1,24,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_07407.jpg
C31171,P1,24,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_07484.jpg
C41923,P1,24,P1-TR반/New Folder With Items/A3_B3_P1_2022-07-15_IR3_03646.jpg
C44203,P1,24,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03157.jpg
C54709,P5,24,P5-PF&PT반/A1_B2_P5_2022-07-19_IR2_04108.jpg
C62663,P6,24,P6-VCB반/A1_B2_P6_2022-07-19_IR3_00531.jpg
C65530,P6,24,P6-VCB반/A3_B1_P6_2022-07-01_IR3_00004.jpg
C83151,P9,24,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_3_00258.jpg
C13483,P1,23,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_00199.jpg
C13897,P1,23,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_01030.jpg
C44235,P1,23,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03289.jpg
C102969,P10,23,P10-ACB&MCCB반/A2_B1_P10_2022-07-11_IR2_4_00655.jpg
C48604,P2,23,P2-LBS&LA반/A2_B1_P2_2022-07-11_IR2_1_00461.jpg
C66157,P6,23,P6-VCB반/A3_B1_P6_2022-07-01_IR3_01884.jpg
C74762,P8,23,P8-ACB반/A3_B3_P8_2022-07-15_IR3_00303.jpg
C13730,P1,22,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR2_00695.jpg
C17619,P1,22,P1-TR반/New Folder With Items/A1_B3_P1_2022-07-19_IR3_04026.jpg
C27802,P1,22,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR3_01261.jpg
C101284,P10,22,P10-ACB&MCCB반/A1_B3_P10_2022-07-19_IR2_01400.jpg
C75519,P9,22,P9-MCCB반/A1_B1_P9_2022-07-19_IR2_00623.jpg
C82813,P9,22,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_2_00356.jpg
C83946,P9,22,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_5_00280.jpg
C85267,P9,22,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_8_00454.jpg
