pair_id,cosine,human_verdict,same_session,panel,cluster_same_at_0.93,cluster_same_at_0.925,cluster_same_at_0.92,cluster_same_at_0.9175,cluster_same_at_0.9155,cluster_same_at_0.9125,cluster_same_at_0.91
pair_0037,0.9298,SAME_SCENE,1,P9,0,1,1,1,1,1,1
pair_0005,0.9292,DIFFERENT_SCENE,0,P1,0,0,0,0,0,0,0
pair_0012,0.9285,NEAR_DUPLICATE,1,P9,0,0,0,0,0,0,0
pair_0065,0.9281,SAME_SCENE,1,P10,0,0,0,0,0,0,0
pair_0048,0.9274,DIFFERENT_SCENE,1,P9,0,0,0,0,0,0,0
pair_0041,0.9272,SAME_SCENE,1,P1,0,0,0,0,0,0,0
pair_0070,0.9272,DIFFERENT_SCENE,0,P1,0,0,0,0,0,0,0
pair_0045,0.9269,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0007,0.9268,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0011,0.9267,DIFFERENT_SCENE,1,P1,0,0,0,0,0,1,1
pair_0030,0.9265,SAME_SCENE,1,P9,0,0,0,0,0,0,0
pair_0032,0.9265,DIFFERENT_SCENE,0,P8,0,0,0,0,0,0,0
pair_0008,0.925,SAME_SCENE,1,P3,0,0,0,0,0,0,0
pair_0046,0.9248,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0049,0.9246,DIFFERENT_SCENE,1,P2,0,0,0,0,0,0,0
pair_0074,0.9244,SAME_SCENE,1,P1,0,0,0,0,0,0,0
pair_0050,0.9241,SAME_SCENE,1,P6,0,0,0,0,0,0,0
pair_0080,0.9239,SAME_SCENE,0,P9,0,0,0,0,0,0,0
pair_0027,0.9236,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0054,0.9235,SAME_SCENE,1,P9,0,1,1,1,1,1,1
pair_0097,0.9233,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0061,0.9232,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0086,0.9232,DIFFERENT_SCENE,0,P1,0,0,0,0,1,1,1
pair_0022,0.9228,SAME_SCENE,1,P1,0,0,0,0,0,0,0
pair_0089,0.9228,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0057,0.9224,SAME_SCENE,1,P6,0,0,0,0,0,0,0
pair_0078,0.9218,DIFFERENT_SCENE,0,P1,0,1,1,1,1,1,1
pair_0085,0.9217,NEAR_DUPLICATE,0,P9,0,1,0,0,0,0,0
pair_0051,0.9214,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0093,0.9214,DIFFERENT_SCENE,0,P9,0,0,1,1,1,1,0
pair_0095,0.9211,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0055,0.9207,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0099,0.9207,DIFFERENT_SCENE,0,P1,0,0,0,0,0,0,0
pair_0024,0.9206,DIFFERENT_SCENE,0,P9,0,0,0,0,0,0,0
pair_0059,0.9206,SAME_SCENE,1,P1,0,0,0,0,0,0,0
pair_0072,0.92,SAME_SCENE,1,P1,0,0,0,0,0,1,0
pair_0069,0.9198,SAME_SCENE,1,P9,0,0,0,0,0,0,0
pair_0006,0.9197,SAME_SCENE,1,P10,0,0,0,0,0,0,0
pair_0088,0.9194,SAME_SCENE,1,P1,0,0,0,0,0,0,0
pair_0002,0.9193,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0043,0.9189,DIFFERENT_SCENE,1,P4,0,0,1,1,1,1,1
pair_0031,0.9188,DIFFERENT_SCENE,1,P1,0,0,0,0,0,0,0
pair_0090,0.9188,DIFFERENT_SCENE,1,P9,0,0,0,0,0,0,0
pair_0075,0.9187,DIFFERENT_SCENE,0,P8,0,0,0,0,0,0,0
pair_0016,0.9185,SAME_SCENE,1,P8,0,0,0,0,0,0,0
pair_0062,0.9184,SAME_SCENE,1,P9,0,0,0,1,1,1,1
pair_0077,0.9181,DIFFERENT_SCENE,1,P9,0,0,0,0,0,0,0
