image_id,stem,rel_path,panel,camera,session,cluster_id,original_class_id,v2_class_id,box_index,boxes_in_image,bbox_xyxy,bbox_area_ratio,aspect_w_over_h,top_at_frame,bottom_at_frame,nested_in_other,contains_other,has_box_directly_above,case_type_hint
P6/A1_B1_P6_2022-05-12_IR1_00002,A1_B1_P6_2022-05-12_IR1_00002,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00002.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58864,15,13,0,3,"0.4660,0.6998,0.5054,0.9988",0.01179,0.132,0,1,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00002,A1_B1_P6_2022-05-12_IR1_00002,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00002.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58864,15,13,1,3,"0.2763,0.6987,0.3157,0.9977",0.01179,0.132,0,1,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00002,A1_B1_P6_2022-05-12_IR1_00002,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00002.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58864,15,13,2,3,"0.6500,0.7010,0.6894,1.0000",0.01178,0.132,0,1,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00003,A1_B1_P6_2022-05-12_IR1_00003,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00003.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58865,15,13,0,3,"0.6421,0.1245,0.6815,0.5017",0.01487,0.104,0,0,0,0,0,C_매우김
P6/A1_B1_P6_2022-05-12_IR1_00003,A1_B1_P6_2022-05-12_IR1_00003,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00003.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58865,15,13,1,3,"0.2619,0.1461,0.3013,0.5233",0.01488,0.105,0,0,0,0,0,C_매우김
P6/A1_B1_P6_2022-05-12_IR1_00003,A1_B1_P6_2022-05-12_IR1_00003,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00003.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58865,15,13,2,3,"0.4546,0.1338,0.4941,0.5111",0.01488,0.105,0,0,0,0,0,C_매우김
P6/A1_B1_P6_2022-05-12_IR1_00004,A1_B1_P6_2022-05-12_IR1_00004,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00004.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58866,15,13,0,3,"0.7275,0.2869,0.8353,0.9408",0.07048,0.165,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00004,A1_B1_P6_2022-05-12_IR1_00004,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00004.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58866,15,13,1,3,"0.1313,0.2904,0.2066,0.8825",0.04459,0.127,0,0,0,0,0,C_매우김
P6/A1_B1_P6_2022-05-12_IR1_00004,A1_B1_P6_2022-05-12_IR1_00004,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00004.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58866,15,13,2,3,"0.4244,0.2811,0.5155,0.9048",0.0568,0.146,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00005,A1_B1_P6_2022-05-12_IR1_00005,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00005.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58867,15,13,0,3,"0.1087,0.1015,0.2250,0.7783",0.07866,0.172,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00005,A1_B1_P6_2022-05-12_IR1_00005,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00005.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58867,15,13,1,3,"0.8586,0.2063,0.9547,0.8819",0.06494,0.142,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00005,A1_B1_P6_2022-05-12_IR1_00005,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00005.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58867,15,13,2,3,"0.4718,0.0525,0.5741,0.8237",0.07886,0.133,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00007,A1_B1_P6_2022-05-12_IR1_00007,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00007.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58869,15,13,0,2,"0.4469,0.3889,0.5675,0.9987",0.07358,0.198,0,1,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00007,A1_B1_P6_2022-05-12_IR1_00007,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00007.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58869,15,13,1,2,"0.8528,0.4299,0.9526,0.8762",0.04452,0.223,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00008,A1_B1_P6_2022-05-12_IR1_00008,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00008.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58870,15,13,0,2,"0.4700,0.3855,0.5881,0.9954",0.07204,0.194,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00008,A1_B1_P6_2022-05-12_IR1_00008,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00008.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58870,15,13,1,2,"0.8906,0.4112,0.9508,0.8854",0.02854,0.127,0,0,0,0,0,C_매우김
P6/A1_B1_P6_2022-05-12_IR1_00009,A1_B1_P6_2022-05-12_IR1_00009,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00009.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58871,15,13,0,2,"0.8495,0.4219,0.9459,0.8913",0.04525,0.205,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00009,A1_B1_P6_2022-05-12_IR1_00009,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00009.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58871,15,13,1,2,"0.4287,0.3775,0.5535,1.0000",0.0777,0.201,0,1,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00010,A1_B1_P6_2022-05-12_IR1_00010,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00010.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58872,15,13,0,2,"0.4406,0.3837,0.5506,0.9992",0.06767,0.179,0,1,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00010,A1_B1_P6_2022-05-12_IR1_00010,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00010.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58872,15,13,1,2,"0.8653,0.3396,0.9472,0.8779",0.04409,0.152,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00011,A1_B1_P6_2022-05-12_IR1_00011,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00011.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58873,15,13,0,2,"0.4336,0.4847,0.5369,0.9997",0.05318,0.201,0,1,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00011,A1_B1_P6_2022-05-12_IR1_00011,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00011.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58873,15,13,1,2,"0.8494,0.4669,0.9325,0.8792",0.03427,0.202,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00012,A1_B1_P6_2022-05-12_IR1_00012,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00012.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58874,15,13,0,2,"0.7784,0.4604,0.9025,0.8792",0.05195,0.296,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00012,A1_B1_P6_2022-05-12_IR1_00012,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00012.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58874,15,13,1,2,"0.3894,0.4178,0.5094,0.9971",0.06952,0.207,0,1,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00013,A1_B1_P6_2022-05-12_IR1_00013,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00013.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58875,15,13,0,1,"0.4787,0.3991,0.5812,1.0000",0.06159,0.171,0,1,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00014,A1_B1_P6_2022-05-12_IR1_00014,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00014.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58876,15,13,0,3,"0.8076,0.3533,0.9296,0.8817",0.0645,0.231,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00014,A1_B1_P6_2022-05-12_IR1_00014,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00014.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58876,15,13,1,3,"0.0278,0.3024,0.1392,0.9054",0.06718,0.185,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00014,A1_B1_P6_2022-05-12_IR1_00014,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00014.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58876,15,13,2,3,"0.4237,0.3434,0.5458,0.9733",0.07689,0.194,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00015,A1_B1_P6_2022-05-12_IR1_00015,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00015.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58877,15,13,0,3,"0.0497,0.3276,0.1550,0.9063",0.06094,0.182,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00015,A1_B1_P6_2022-05-12_IR1_00015,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00015.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58877,15,13,1,3,"0.4279,0.3427,0.5463,1.0000",0.07777,0.18,0,1,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00015,A1_B1_P6_2022-05-12_IR1_00015,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00015.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58877,15,13,2,3,"0.8016,0.3630,0.9225,0.8833",0.06293,0.232,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00016,A1_B1_P6_2022-05-12_IR1_00016,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00016.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58878,15,13,0,3,"0.4423,0.3162,0.5553,1.0000",0.0772,0.165,0,1,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00016,A1_B1_P6_2022-05-12_IR1_00016,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00016.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58878,15,13,1,3,"0.7919,0.2679,0.9058,0.8852",0.07031,0.185,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00016,A1_B1_P6_2022-05-12_IR1_00016,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00016.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58878,15,13,2,3,"0.0000,0.3801,0.1278,0.9158",0.06848,0.239,0,0,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00017,A1_B1_P6_2022-05-12_IR1_00017,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00017.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58879,15,13,0,2,"0.3907,0.3299,0.5036,1.0000",0.07566,0.168,0,1,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00017,A1_B1_P6_2022-05-12_IR1_00017,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00017.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58879,15,13,1,2,"0.7437,0.3371,0.8597,0.9998",0.07686,0.175,0,1,0,0,0,A_전형
P6/A1_B1_P6_2022-05-12_IR1_00018,A1_B1_P6_2022-05-12_IR1_00018,P6-VCB반/A1_B1_P6_2022-05-12_IR1_00018.jpg,P6-VCB반,IR1,P6|A1_B1_2022-05-12_IR1_,P6-C58880,15,13,0,3,"0.7729,0.3467,0.8841,0.9979",0.07241,0.171,0,1,0,0,0,A_전형
