case_type,stem,session,cluster_id,boxes_in_image,bbox_xyxy,bbox_area_ratio,height,aspect
전형,A1_B1_P6_2022-05-12_IR1_00046,P6|A1_B1_2022-05-12_IR1_,P6-C58908,2,"0.6928,0.0110,0.8770,0.8511",0.15471,0.84,0.219
전형,A2_B1_P6_2022-06-03_IR1_00035,P6|A2_B1_2022-06-03_IR1_,P6-C64494,2,"0.0803,0.1140,0.2182,0.8750",0.10488,0.761,0.181
전형,A1_B1_P6_2022-06-17_IR1_00007,P6|A1_B1_2022-06-17_IR1_,P6-C58946,2,"0.7769,0.3277,0.8794,0.9987",0.06875,0.671,0.153
전형,A1_B3_P6_2022-05-24_IR1_00032,P6|A1_B3_2022-05-24_IR1_,P6-C63097,2,"0.5827,0.0713,0.6897,0.7200",0.06941,0.649,0.165
상부도체포함,A1_B1_P6_2022-05-12_IR1_00044,P6|A1_B1_2022-05-12_IR1_,P6-C58906,3,"0.6477,0.0108,0.8680,0.9633",0.2098,0.953,0.231
상부도체포함,A1_B1_P6_2022-05-12_IR1_00048,P6|A1_B1_2022-05-12_IR1_,P6-C58910,2,"0.6306,0.0252,0.9157,0.9041",0.25052,0.879,0.324
상부도체포함,A2_B1_P6_2022-06-03_IR1_00081,P6|A2_B1_2022-06-03_IR1_,P6-C64539,2,"0.0140,0.0518,0.2835,0.8980",0.22802,0.846,0.318
상부도체제외,A1_B3_P6_2022-05-24_IR1_00054,P6|A1_B3_2022-05-24_IR1_,P6-C63118,1,"0.7925,0.0000,0.8720,0.0825",0.00656,0.083,0.964
상부도체제외,A1_B1_P6_2022-06-17_IR1_00017,P6|A1_B1_2022-06-17_IR1_,P6-C58956,2,"0.7693,0.9085,0.8859,1.0000",0.01066,0.092,1.274
상부도체제외,A2_B1_P6_2022-06-03_IR1_00021,P6|A2_B1_2022-06-03_IR1_,P6-C64481,1,"0.7269,0.8797,0.8195,0.9983",0.01098,0.119,0.781
엘보중첩,A1_B3_P6_2022-05-24_IR1_00019,P6|A1_B3_2022-05-24_IR1_,P6-C63084,4,"0.7385,0.4926,0.8004,0.9768",0.02997,0.484,0.128
엘보중첩,A2_B1_P6_2022-06-03_IR1_00062,P6|A2_B1_2022-06-03_IR1_,P6-C64507,4,"0.8671,0.4199,0.9546,0.8859",0.04076,0.466,0.188
