panel_id,image,box_index,class_id,class_name,audit_rule,status,reason,detail
P1,A1_B2_P1_2022-05-12_IR1_00038,3+5,10,소음기부착형 전력퓨즈,같은 클래스 중복,SUSPECT,같은 클래스 IoU 0.660 — 같은 인스턴스인지 좌표만으로 확정 불가,나란한 동종 부품이 겹쳐 보이는 경우일 수 있다
P1,A1_B3_P1_2022-05-24_IR1_00002,2,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00182 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00002,3,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00190 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00002,4,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00247 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00002,5,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00219 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00004,1,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00171 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00004,5,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00205 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00004,6,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00205 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00004,7,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00189 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00005,2,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00235 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00005,3,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00191 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00005,5,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00189 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00005,6,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00160 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00006,0,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00215 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00006,3,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00251 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00006,4,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00249 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00006,6,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00269 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00007,0,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00196 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
P1,A1_B3_P1_2022-05-24_IR1_00007,1,2,몰드변압기 접촉부,초소형(candidate),SUSPECT,정규화 면적 0.00253 < candidate_threshold 0.003,공식 임계값이 아니다. 식별 가능성 기준이므로 좌표만으로 확정 불가
