class_id,guide_no,class_name,canonical_name,label_status,panel_candidates,annotation_unit,deployable,canonical_boxes,reference_boxes,trial_A,trial_B,trial_C,trial_D,trial_annotators_drew,trial_annotators_total,seed_exposure_images,guide_reference_cards,evidence_grade,unit_basis
0,1,core_iron,철심부,주의,P1,WHOLE_OBJECT,1,634,0,6,0,3,6,3,4,30,1,CONFIRMED_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
1,2,epoxy_surface,에폭시 표면,가공,P1,WHOLE_OBJECT,1,1448,0,6,3,3,6,4,4,30,1,CONFIRMED_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
2,3,mold_tr_contact,몰드변압기 접촉부,가공,P1,CONTACT_POINT,1,1365,0,7,7,8,5,4,4,30,1,CONFIRMED_PRESENT,"정본 P1 1,365박스 · 접촉부/본체 세로비 중앙 0.462 (DEC-014)"
3,4,lbs,LBS,가공,P2,WHOLE_OBJECT,1,0,0,0,0,0,0,0,4,61,1,NOT_YET_OBSERVED,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
4,5,lbs_primary,LBS 1차측 접촉부,가공,P2,UNKNOWN,0,0,0,0,0,0,0,0,4,61,1,NOT_YET_OBSERVED,정본·참고 모두 라벨 실적 0건 (NQ-13)
5,6,cl_power_fuse,한류형 전력퓨즈,가공,P2,WHOLE_OBJECT,1,0,0,0,15,0,0,1,4,61,1,LIKELY_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
6,7,la,LA,가공,P2,WHOLE_OBJECT,1,0,0,0,0,3,0,1,4,61,1,LIKELY_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
7,8,transformer,변압기,가공,P4,WHOLE_OBJECT,1,1,0,0,0,0,3,1,4,30,1,CONFIRMED_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
8,9,ct_transformer,변류기,가공,P3 P4,WHOLE_OBJECT,1,189,0,0,9,0,0,1,4,45,2,CONFIRMED_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
9,10,ncl_power_fuse,비한류형 전력퓨즈,가공,P3 P4,WHOLE_OBJECT,1,191,0,3,0,0,3,2,4,45,2,CONFIRMED_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
10,11,silencer_power_fuse,소음기부착형 전력퓨즈,가공,P1 P5,WHOLE_OBJECT,1,127,0,0,0,0,0,0,4,91,2,CONFIRMED_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
11,12,mold_pt,몰드타입 PT,가공,P4 P5,WHOLE_OBJECT,1,0,0,3,8,0,5,3,4,91,2,LIKELY_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
13,14,cable_head,케이블헤드,가공,P2 P5 P6,WHOLE_OBJECT,1,0,387,5,0,5,4,3,4,183,3,CONFIRMED_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
14,15,vcb_contact,VCB 접촉부,가공,P6 P7,CONTACT_POINT,1,0,159,0,0,0,3,1,4,122,2,CONFIRMED_PRESENT,참고 P6 159박스 · 세로비 중앙 0.246 · 표본 15장 육안 판정 CONTACT_POINT 10 / PARTIAL_LABELING 5 / TERMINAL_GROUP 0 (DEC-024)
15,16,ct,CT,가공,P6 P7,WHOLE_OBJECT,1,0,0,2,0,2,0,2,4,122,2,LIKELY_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
16,17,sa,SA,가공,P6,WHOLE_OBJECT,1,0,0,3,0,0,0,1,4,61,1,LIKELY_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
17,18,capacitor,콘덴서,가공,P8 P10,WHOLE_OBJECT,1,0,1,0,0,0,0,0,4,60,2,CONFIRMED_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
18,19,mccb,MCCB,가공,P8 P9 P10,WHOLE_OBJECT,1,0,994,29,31,32,30,4,4,81,3,CONFIRMED_PRESENT,부품 단위가 자명 — 별도 근거 불요 (DEC-015)
19,20,incoming_contact,인입선로 접촉부,가공,P5,UNKNOWN,0,0,0,0,0,0,0,0,4,61,1,NOT_YET_OBSERVED,정본·참고 모두 라벨 실적 0건 (NQ-13)
22,23,lbs_secondary,LBS 2차측 접촉부,가공,P2,UNKNOWN,0,0,0,0,0,0,0,0,4,61,1,NOT_YET_OBSERVED,정본·참고 모두 라벨 실적 0건 (NQ-13)
23,24,transformer_contact,변압기 접촉부,가공,P4,UNKNOWN,0,3,0,0,0,0,0,0,4,30,1,CONFIRMED_PRESENT,정본 3박스뿐 · 단위 판정 표본 부족 (NQ-13)
24,25,ct_transformer_contact,변류기 접촉부,가공,P3 P4,CONTACT_POINT,1,219,0,0,7,8,3,3,4,45,2,CONFIRMED_PRESENT,정본 P3·P4 219박스 · 세로비 중앙 0.379 (DEC-014)
25,26,ct_contact,CT 접촉부,주의,P7,UNKNOWN,0,0,0,0,0,0,0,0,4,61,1,NOT_YET_OBSERVED,정본·참고 모두 라벨 실적 0건 (NQ-13)
27,28,mccb_contact,MCCB 접촉부,주의,P8 P9 P10,TERMINAL_GROUP,1,0,1778,58,62,64,62,4,4,81,3,CONFIRMED_PRESENT,"가이드 ACB&MCCB 반 예시 이미지 + 참고 P9 1,777박스 · 세로비 중앙 0.922 (DEC-015)"
