ham_max,cos_min,recall,precision,f1,false_merge_hard,false_merge_easy
22,0.93,0.945,0.9947,0.9692,0.005,0.0
22,0.92,0.955,0.9828,0.9687,0.015,0.0017
20,0.93,0.9417,0.9947,0.9675,0.005,0.0
20,0.92,0.9517,0.9828,0.967,0.015,0.0017
20,0.9,0.9567,0.9745,0.9655,0.0217,0.0033
16,0.9,0.9417,0.9895,0.965,0.0083,0.0017
18,0.93,0.935,0.9964,0.9647,0.0033,0.0
18,0.9,0.9467,0.9827,0.9643,0.015,0.0017
18,0.92,0.9433,0.9861,0.9642,0.0117,0.0017
16,0.92,0.9383,0.9895,0.9632,0.0083,0.0017
22,0.94,0.9317,0.9964,0.963,0.0033,0.0
22,0.9,0.96,0.9648,0.9624,0.0317,0.0033
16,0.93,0.93,0.9964,0.9621,0.0033,0.0
20,0.94,0.9283,0.9964,0.9612,0.0033,0.0
18,0.94,0.9217,0.9964,0.9576,0.0033,0.0
14,0.9,0.92,0.9982,0.9575,0.0017,0.0
14,0.92,0.9167,0.9982,0.9557,0.0017,0.0
16,0.94,0.9167,0.9964,0.9549,0.0033,0.0
14,0.93,0.91,1.0,0.9529,0.0,0.0
22,0.95,0.9017,1.0,0.9483,0.0,0.0
14,0.94,0.9,1.0,0.9474,0.0,0.0
20,0.95,0.8983,1.0,0.9464,0.0,0.0
18,0.95,0.8933,1.0,0.9437,0.0,0.0
16,0.95,0.8883,1.0,0.9409,0.0,0.0
12,0.9,0.8867,1.0,0.9399,0.0,0.0
12,0.92,0.8833,1.0,0.9381,0.0,0.0
12,0.93,0.8783,1.0,0.9352,0.0,0.0
14,0.95,0.875,1.0,0.9333,0.0,0.0
12,0.94,0.8683,1.0,0.9295,0.0,0.0
10,0.9,0.8467,1.0,0.917,0.0,0.0
20,0.96,0.8467,1.0,0.917,0.0,0.0
22,0.96,0.8467,1.0,0.917,0.0,0.0
10,0.92,0.845,1.0,0.916,0.0,0.0
12,0.95,0.845,1.0,0.916,0.0,0.0
18,0.96,0.845,1.0,0.916,0.0,0.0
16,0.96,0.8433,1.0,0.915,0.0,0.0
10,0.93,0.8417,1.0,0.914,0.0,0.0
10,0.94,0.835,1.0,0.9101,0.0,0.0
14,0.96,0.835,1.0,0.9101,0.0,0.0
10,0.95,0.815,1.0,0.8981,0.0,0.0
12,0.96,0.81,1.0,0.895,0.0,0.0
10,0.96,0.7833,1.0,0.8785,0.0,0.0
8,0.9,0.78,1.0,0.8764,0.0,0.0
8,0.92,0.78,1.0,0.8764,0.0,0.0
8,0.93,0.7767,1.0,0.8743,0.0,0.0
8,0.94,0.7733,1.0,0.8722,0.0,0.0
8,0.95,0.7617,1.0,0.8647,0.0,0.0
8,0.96,0.7383,1.0,0.8495,0.0,0.0
18,0.97,0.7367,1.0,0.8484,0.0,0.0
20,0.97,0.7367,1.0,0.8484,0.0,0.0
22,0.97,0.7367,1.0,0.8484,0.0,0.0
16,0.97,0.735,1.0,0.8473,0.0,0.0
14,0.97,0.73,1.0,0.8439,0.0,0.0
12,0.97,0.7167,1.0,0.835,0.0,0.0
10,0.97,0.7067,1.0,0.8281,0.0,0.0
8,0.97,0.6733,1.0,0.8048,0.0,0.0
