hamming,candidate_pairs,cumulative
0,58112,58112
1,0,58112
2,112784,170896
3,0,170896
4,103496,274392
5,0,274392
6,86258,360650
7,0,360650
8,78496,439146
9,0,439146
10,80972,520118
11,0,520118
12,91411,611529
13,0,611529
14,110383,721912
15,0,721912
16,129714,851626
18,140961,992587
20,143312,1135899
22,134335,1270234
24,113199,1383433
26,85409,1468842
28,56072,1524914
30,31990,1556904
32,15264,1572168
34,6358,1578526
36,2398,1580924
38,776,1581700
40,172,1581872
42,26,1581898
44,26,1581924
46,6,1581930
48,1,1581931
