source_a,source_b,a_files,b_files,shared_files,identical_labels,differing_labels,shared_ratio_a
IR1_1반_1차,IR1_1반_A1검수,786,786,786,469,317,1.000
IR1_1반_1차,IR1_1반_A2검수,786,786,786,300,486,1.000
IR1_1반_1차,A3검수완료,786,786,786,53,733,1.000
IR1_1반_1차,_p1only,786,757,757,24,733,0.963
IR1_1반_A1검수,IR1_1반_A2검수,786,786,786,386,400,1.000
IR1_1반_A1검수,A3검수완료,786,786,786,74,712,1.000
IR1_1반_A1검수,_p1only,786,757,757,45,712,0.963
IR1_1반_A2검수,A3검수완료,786,786,786,110,676,1.000
IR1_1반_A2검수,_p1only,786,757,757,81,676,0.963
A3검수완료,_p1only,786,757,757,757,0,0.963
_p3,IR1_3반,66,66,66,66,0,1.000
