source,image,old_class_id,old_class_ko,cx,cy,w,h,area,edges_touched,flags,is_representative
6ban,A1_B1_P6_2022-05-12_IR1_00002,15,분기 접촉부,0.4857,0.8493,0.0394,0.299,0.01179,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00002,15,분기 접촉부,0.296,0.8482,0.0394,0.299,0.01179,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00002,15,분기 접촉부,0.6697,0.8505,0.0394,0.299,0.01178,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00007,15,분기 접촉부,0.5072,0.6938,0.1207,0.6098,0.07358,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00009,17,VCB 접촉부,0.583,0.9691,0.0409,0.0619,0.00253,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00009,15,분기 접촉부,0.4911,0.6887,0.1248,0.6225,0.0777,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00009,17,VCB 접촉부,0.7407,0.9702,0.0409,0.0595,0.00244,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00010,15,분기 접촉부,0.4956,0.6915,0.1099,0.6155,0.06767,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00011,15,분기 접촉부,0.4853,0.7422,0.1033,0.5149,0.05318,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00011,17,VCB 접촉부,0.7709,0.9527,0.0436,0.0912,0.00397,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00012,15,분기 접촉부,0.4494,0.7074,0.12,0.5793,0.06952,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00013,15,분기 접촉부,0.5299,0.6996,0.1025,0.6009,0.06159,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00015,15,분기 접촉부,0.4871,0.6714,0.1183,0.6573,0.07777,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00016,15,분기 접촉부,0.4988,0.6581,0.1129,0.6837,0.0772,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00016,15,분기 접촉부,0.0639,0.648,0.1278,0.5357,0.06848,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00017,15,분기 접촉부,0.4472,0.6649,0.1129,0.6701,0.07566,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00017,15,분기 접촉부,0.8017,0.6685,0.116,0.6627,0.07686,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00018,15,분기 접촉부,0.8285,0.6723,0.1112,0.6512,0.07241,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00018,15,분기 접촉부,0.0282,0.5834,0.0564,0.6634,0.03742,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00018,15,분기 접촉부,0.4696,0.6707,0.1211,0.6546,0.07925,1,프레임접촉x1,1
6ban,A1_B1_P6_2022-05-12_IR1_00019,15,분기 접촉부,0.4439,0.6613,0.1067,0.6767,0.07217,1,프레임접촉x1,0
