image,session,building,bodies,contacts,contacts_per_body,left_of_body,right_of_body,lr_balance,fully_inside_body,unmatched
A1_B1_P9_2022-05-12_IR1_00002,P9|A1_B1_2022-05-12_IR1_,B1,3,7,2.33,3,4,0.75,6,0
A1_B1_P9_2022-05-12_IR1_00003,P9|A1_B1_2022-05-12_IR1_,B1,8,15,1.88,7,8,0.88,15,0
A1_B1_P9_2022-05-12_IR1_00026,P9|A1_B1_2022-05-12_IR1_,B1,2,5,2.5,2,3,0.67,4,0
A1_B1_P9_2022-05-12_IR1_00027,P9|A1_B1_2022-05-12_IR1_,B1,2,4,2.0,1,3,0.33,3,0
A1_B1_P9_2022-05-12_IR1_00028,P9|A1_B1_2022-05-12_IR1_,B1,1,2,2.0,1,1,1.0,2,0
A1_B1_P9_2022-05-12_IR1_00029,P9|A1_B1_2022-05-12_IR1_,B1,2,3,1.5,2,1,0.5,3,0
A1_B1_P9_2022-05-12_IR1_00030,P9|A1_B1_2022-05-12_IR1_,B1,2,6,3.0,2,4,0.5,4,0
A1_B1_P9_2022-05-12_IR1_00031,P9|A1_B1_2022-05-12_IR1_,B1,2,6,3.0,2,4,0.5,4,0
A1_B1_P9_2022-05-12_IR1_00032,P9|A1_B1_2022-05-12_IR1_,B1,2,6,3.0,2,4,0.5,4,0
A1_B1_P9_2022-05-12_IR1_00033,P9|A1_B1_2022-05-12_IR1_,B1,2,5,2.5,3,2,0.67,3,0
A1_B1_P9_2022-05-12_IR1_00034,P9|A1_B1_2022-05-12_IR1_,B1,2,6,3.0,4,2,0.5,4,0
A1_B1_P9_2022-05-12_IR1_00035,P9|A1_B1_2022-05-12_IR1_,B1,2,6,3.0,4,2,0.5,4,0
A1_B1_P9_2022-05-12_IR1_00036,P9|A1_B1_2022-05-12_IR1_,B1,2,6,3.0,4,2,0.5,4,0
A1_B1_P9_2022-05-12_IR1_00037,P9|A1_B1_2022-05-12_IR1_,B1,3,5,1.67,2,3,0.67,5,0
A1_B1_P9_2022-05-12_IR1_00038,P9|A1_B1_2022-05-12_IR1_,B1,3,5,1.67,2,3,0.67,5,0
A1_B1_P9_2022-05-12_IR1_00039,P9|A1_B1_2022-05-12_IR1_,B1,2,4,2.0,2,2,1.0,4,0
A1_B1_P9_2022-05-12_IR1_00040,P9|A1_B1_2022-05-12_IR1_,B1,5,8,1.6,3,5,0.6,8,0
A1_B1_P9_2022-05-12_IR1_00041,P9|A1_B1_2022-05-12_IR1_,B1,6,9,1.5,3,6,0.5,9,0
A1_B1_P9_2022-05-12_IR1_00042,P9|A1_B1_2022-05-12_IR1_,B1,5,9,1.8,3,6,0.5,8,0
A1_B1_P9_2022-05-12_IR1_00043,P9|A1_B1_2022-05-12_IR1_,B1,4,8,2.0,4,4,1.0,7,0
A1_B1_P9_2022-05-12_IR1_00044,P9|A1_B1_2022-05-12_IR1_,B1,4,9,2.25,4,5,0.8,7,0
A1_B1_P9_2022-05-12_IR1_00045,P9|A1_B1_2022-05-12_IR1_,B1,3,6,2.0,3,3,1.0,4,0
A1_B1_P9_2022-05-12_IR1_00046,P9|A1_B1_2022-05-12_IR1_,B1,3,7,2.33,3,4,0.75,6,0
A1_B1_P9_2022-05-12_IR1_00047,P9|A1_B1_2022-05-12_IR1_,B1,3,7,2.33,3,4,0.75,6,0
A1_B1_P9_2022-05-12_IR1_00048,P9|A1_B1_2022-05-12_IR1_,B1,3,6,2.0,3,3,1.0,6,0
A1_B1_P9_2022-05-12_IR1_00049,P9|A1_B1_2022-05-12_IR1_,B1,3,6,2.0,3,3,1.0,5,0
A1_B1_P9_2022-05-12_IR1_00050,P9|A1_B1_2022-05-12_IR1_,B1,4,9,2.25,4,5,0.8,8,0
A1_B1_P9_2022-05-12_IR1_00051,P9|A1_B1_2022-05-12_IR1_,B1,9,20,2.22,10,10,1.0,18,0
A1_B1_P9_2022-05-12_IR1_00052,P9|A1_B1_2022-05-12_IR1_,B1,12,24,2.0,12,12,1.0,20,0
A1_B1_P9_2022-05-12_IR1_00054,P9|A1_B1_2022-05-12_IR1_,B1,2,4,2.0,1,3,0.33,3,0
A1_B1_P9_2022-05-12_IR1_00055,P9|A1_B1_2022-05-12_IR1_,B1,2,4,2.0,2,2,1.0,3,0
A1_B1_P9_2022-06-17_IR1_00001,P9|A1_B1_2022-06-17_IR1_,B1,1,2,2.0,1,1,1.0,2,0
A1_B1_P9_2022-06-17_IR1_00002,P9|A1_B1_2022-06-17_IR1_,B1,1,2,2.0,1,1,1.0,2,0
A1_B1_P9_2022-06-17_IR1_00003,P9|A1_B1_2022-06-17_IR1_,B1,2,3,1.5,1,2,0.5,3,0
A1_B1_P9_2022-06-17_IR1_00004,P9|A1_B1_2022-06-17_IR1_,B1,2,3,1.5,1,2,0.5,2,0
A1_B1_P9_2022-06-17_IR1_00005,P9|A1_B1_2022-06-17_IR1_,B1,2,4,2.0,2,2,1.0,3,0
A1_B1_P9_2022-06-17_IR1_00006,P9|A1_B1_2022-06-17_IR1_,B1,2,4,2.0,2,2,1.0,4,0
A1_B1_P9_2022-06-17_IR1_00007,P9|A1_B1_2022-06-17_IR1_,B1,2,4,2.0,2,2,1.0,4,0
A1_B1_P9_2022-06-17_IR1_00008,P9|A1_B1_2022-06-17_IR1_,B1,3,8,2.67,5,3,0.6,6,0
A1_B1_P9_2022-06-17_IR1_00009,P9|A1_B1_2022-06-17_IR1_,B1,3,6,2.0,2,4,0.5,5,0
A1_B1_P9_2022-06-17_IR1_00010,P9|A1_B1_2022-06-17_IR1_,B1,1,2,2.0,1,1,1.0,2,0
A1_B1_P9_2022-06-17_IR1_00011,P9|A1_B1_2022-06-17_IR1_,B1,2,3,1.5,1,2,0.5,3,0
A1_B1_P9_2022-06-17_IR1_00012,P9|A1_B1_2022-06-17_IR1_,B1,3,4,1.33,2,2,1.0,4,0
A1_B1_P9_2022-06-17_IR1_00013,P9|A1_B1_2022-06-17_IR1_,B1,2,2,1.0,1,1,1.0,2,0
A1_B1_P9_2022-06-17_IR1_00014,P9|A1_B1_2022-06-17_IR1_,B1,3,5,1.67,2,3,0.67,5,0
A1_B1_P9_2022-06-17_IR1_00015,P9|A1_B1_2022-06-17_IR1_,B1,2,3,1.5,1,2,0.5,3,0
A1_B1_P9_2022-06-17_IR1_00016,P9|A1_B1_2022-06-17_IR1_,B1,2,4,2.0,2,2,1.0,4,0
A1_B1_P9_2022-06-17_IR1_00017,P9|A1_B1_2022-06-17_IR1_,B1,2,2,1.0,1,1,1.0,2,0
A1_B1_P9_2022-06-17_IR1_00018,P9|A1_B1_2022-06-17_IR1_,B1,1,2,2.0,1,1,1.0,2,0
A1_B1_P9_2022-06-17_IR1_00019,P9|A1_B1_2022-06-17_IR1_,B1,1,2,2.0,1,1,1.0,2,0
A1_B2_P9_2022-05-12_IR1_00001,P9|A1_B2_2022-05-12_IR1_,B2,4,8,2.0,4,4,1.0,5,0
