source,panel_id,session,labeled_images,empty_images,empty_ratio,note
6ban,P6,P6|A1_B1_2022-05-12_IR1_,59,17,0.224,
6ban,P6,P6|A1_B1_2022-06-17_IR1_,18,8,0.308,
6ban,P6,P6|A1_B2_2022-05-12_IR1_,35,12,0.255,
6ban,P6,P6|A1_B3_2022-05-24_IR1_,46,27,0.370,
6ban,P6,P6|A2_B1_2022-06-03_IR1_,86,20,0.189,
6ban,P6,P6|A3_B2_2022-06-17_IR1_,0,11,1.000,세션 전체 미라벨
6ban,P6,P6|A3_B3_2022-06-17_IR1_,0,24,1.000,세션 전체 미라벨
6ban,P6,P6|A3_B4_2022-06-17_IR1_,0,9,1.000,세션 전체 미라벨
9ban,P9,P9|A1_B1_2022-05-12_IR1_,31,22,0.415,
9ban,P9,P9|A1_B1_2022-06-17_IR1_,19,14,0.424,
9ban,P9,P9|A1_B2_2022-05-12_IR1_,12,27,0.692,
9ban,P9,P9|A1_B3_2022-05-24_IR1_,52,11,0.175,
9ban,P9,P9|A2_B1_2022-06-03_IR1_,94,0,0.000,
9ban,P9,P9|A3_B2_2022-06-17_IR1_,75,10,0.118,
9ban,P9,P9|A3_B3_2022-06-17_IR1_,13,1,0.071,
9ban,P9,P9|A3_B4_2022-06-17_IR1_,32,1,0.030,
