axis,value,n,SAME_SCENE,NEAR_DUPLICATE,DIFFERENT_SCENE,UNCERTAIN,risk_rate
전체,-,101,20,2,79,0,0.2178
전체(모집단 가중),-,41184.0,,,,,0.1995
유사도 구간,0.9000~0.9079,24,0,0,24,0,0.0
유사도 구간,0.9079~0.9155,25,1,0,24,0,0.04
유사도 구간,0.9155~0.9228,27,9,1,17,0,0.3704
유사도 구간,0.9228~0.9300,25,10,1,14,0,0.44
세션 관계,같은 세션,66,18,1,47,0,0.2879
세션 관계,다른 세션,35,2,1,32,0,0.0857
반,P1,48,7,0,41,0,0.1458
반,P10,2,2,0,0,0,1.0
반,P2,1,0,0,1,0,0.0
반,P3,2,1,0,1,0,0.5
반,P4,1,0,0,1,0,0.0
반,P5,2,0,0,2,0,0.0
반,P6,4,2,0,2,0,0.5
반,P7,1,0,0,1,0,0.0
반,P8,3,1,0,2,0,0.3333
반,P9,37,7,2,28,0,0.2432
카메라,IR1,1,0,0,1,0,0.0
카메라,IR2,76,8,2,66,0,0.1316
카메라,IR3,24,12,0,12,0,0.5
교차분석,같은 세션 · DIFFERENT_SCENE,47,,,47,,
교차분석,다른 세션 · SAME/NEAR,3,,,,,
교차분석,같은 cluster · split 다름,0,,,,,
