sheet,pair_id,cosine,same_session,panel,cos_bin
sheet_01,pair_0037,0.9298,1,P9,0.9228~0.9300
sheet_01,pair_0005,0.9292,0,P1,0.9228~0.9300
sheet_01,pair_0012,0.9285,1,P9,0.9228~0.9300
sheet_01,pair_0065,0.9281,1,P10,0.9228~0.9300
sheet_01,pair_0048,0.9274,1,P9,0.9228~0.9300
sheet_01,pair_0041,0.9272,1,P1,0.9228~0.9300
sheet_02,pair_0070,0.9272,0,P1,0.9228~0.9300
sheet_02,pair_0045,0.9269,1,P1,0.9228~0.9300
sheet_02,pair_0007,0.9268,1,P1,0.9228~0.9300
sheet_02,pair_0011,0.9267,1,P1,0.9228~0.9300
sheet_02,pair_0030,0.9265,1,P9,0.9228~0.9300
sheet_02,pair_0032,0.9265,0,P8,0.9228~0.9300
sheet_03,pair_0008,0.925,1,P3,0.9228~0.9300
sheet_03,pair_0046,0.9248,1,P1,0.9228~0.9300
sheet_03,pair_0049,0.9246,1,P2,0.9228~0.9300
sheet_03,pair_0074,0.9244,1,P1,0.9228~0.9300
sheet_03,pair_0050,0.9241,1,P6,0.9228~0.9300
sheet_03,pair_0080,0.9239,0,P9,0.9228~0.9300
sheet_04,pair_0027,0.9236,0,P9,0.9228~0.9300
sheet_04,pair_0054,0.9235,1,P9,0.9228~0.9300
sheet_04,pair_0097,0.9233,1,P1,0.9228~0.9300
sheet_04,pair_0061,0.9232,0,P9,0.9228~0.9300
sheet_04,pair_0086,0.9232,0,P1,0.9228~0.9300
sheet_04,pair_0022,0.9228,1,P1,0.9228~0.9300
sheet_05,pair_0089,0.9228,0,P9,0.9228~0.9300
sheet_05,pair_0057,0.9224,1,P6,0.9155~0.9228
sheet_05,pair_0078,0.9218,0,P1,0.9155~0.9228
sheet_05,pair_0085,0.9217,0,P9,0.9155~0.9228
sheet_05,pair_0051,0.9214,1,P1,0.9155~0.9228
sheet_05,pair_0093,0.9214,0,P9,0.9155~0.9228
sheet_06,pair_0095,0.9211,0,P9,0.9155~0.9228
sheet_06,pair_0055,0.9207,1,P1,0.9155~0.9228
sheet_06,pair_0099,0.9207,0,P1,0.9155~0.9228
sheet_06,pair_0059,0.9206,1,P1,0.9155~0.9228
sheet_06,pair_0024,0.9206,0,P9,0.9155~0.9228
sheet_06,pair_0072,0.92,1,P1,0.9155~0.9228
sheet_07,pair_0069,0.9198,1,P9,0.9155~0.9228
sheet_07,pair_0006,0.9197,1,P10,0.9155~0.9228
sheet_07,pair_0088,0.9194,1,P1,0.9155~0.9228
sheet_07,pair_0002,0.9193,1,P1,0.9155~0.9228
sheet_07,pair_0043,0.9189,1,P4,0.9155~0.9228
