pair_id,verdict,cosine,cos_bin,same_session,same_cluster,panel,camera_a,camera_b,split_a,split_b,image_id_a,image_id_b,note
pair_0037,SAME_SCENE,0.9298,0.9228~0.9300,1,0,P9,IR3,IR3,train,val,P9/A3_B4_P9_2022-07-15_IR3_00346,P9/A3_B4_P9_2022-07-15_IR3_00366,
pair_0012,NEAR_DUPLICATE,0.9285,0.9228~0.9300,1,0,P9,IR2,IR2,train,val,P9/A3_B4_P9_2022-07-15_IR2_01942,P9/A3_B4_P9_2022-07-15_IR2_03153,
pair_0065,SAME_SCENE,0.9281,0.9228~0.9300,1,0,P10,IR2,IR2,test,train,P10/A1_B1_P10_2022-07-19_IR2_00960,P10/A1_B1_P10_2022-07-19_IR2_01121,
pair_0041,SAME_SCENE,0.9272,0.9228~0.9300,1,0,P1,IR3,IR3,train,test,P1/A2_B1_P1_2022-07-11_IR3_07246,P1/A2_B1_P1_2022-07-11_IR3_08680,
pair_0030,SAME_SCENE,0.9265,0.9228~0.9300,1,0,P9,IR2,IR2,train,val,P9/A1_B1_P9_2022-07-19_IR2_00102,P9/A1_B1_P9_2022-07-19_IR2_00304,
pair_0008,SAME_SCENE,0.925,0.9228~0.9300,1,0,P3,IR3,IR3,val,train,P3/A2_B1_P3_2022-07-11_IR3_02005,P3/A2_B1_P3_2022-07-11_IR3_02514,
pair_0074,SAME_SCENE,0.9244,0.9228~0.9300,1,0,P1,IR3,IR3,train,val,P1/A3_B1_P1_2022-07-01_IR3_00771,P1/A3_B1_P1_2022-07-01_IR3_00845,
pair_0050,SAME_SCENE,0.9241,0.9228~0.9300,1,0,P6,IR3,IR3,val,train,P6/A1_B2_P6_2022-07-19_IR3_00414,P6/A1_B2_P6_2022-07-19_IR3_00732,
pair_0080,SAME_SCENE,0.9239,0.9228~0.9300,0,0,P9,IR2,IR2,train,test,P9/A2_B1_P9_2022-07-11_IR2_10_00534,P9/A2_B1_P9_2022-07-11_IR2_7_01364,
pair_0054,SAME_SCENE,0.9235,0.9228~0.9300,1,0,P9,IR2,IR2,train,test,P9/A3_B2_P9_2022-07-15_IR2_01625,P9/A3_B2_P9_2022-07-15_IR2_01645,
pair_0022,SAME_SCENE,0.9228,0.9228~0.9300,1,0,P1,IR2,IR2,test,train,P1/A3_B4_P1_2022-07-15_IR2_03970,P1/A3_B4_P1_2022-07-15_IR2_04234,
pair_0057,SAME_SCENE,0.9224,0.9155~0.9228,1,0,P6,IR3,IR3,train,test,P6/A2_B1_P6_2022-07-11_IR3_01904,P6/A2_B1_P6_2022-07-11_IR3_02951,
pair_0085,NEAR_DUPLICATE,0.9217,0.9155~0.9228,0,0,P9,IR2,IR2,test,train,P9/A2_B1_P9_2022-07-11_IR2_4_01406,P9/A3_B4_P9_2022-07-15_IR2_01883,
pair_0059,SAME_SCENE,0.9206,0.9155~0.9228,1,0,P1,IR3,IR3,train,val,P1/A2_B1_P1_2022-07-11_IR3_06459,P1/A3_B1_P1_2022-07-01_IR3_02136,
pair_0072,SAME_SCENE,0.92,0.9155~0.9228,1,0,P1,IR3,IR3,test,train,P1/A3_B1_P1_2022-07-01_IR3_01283,P1/A3_B1_P1_2022-07-01_IR3_02173,
pair_0069,SAME_SCENE,0.9198,0.9155~0.9228,1,0,P9,IR2,IR2,test,train,P9/A1_B1_P9_2022-07-19_IR2_00006,P9/A1_B1_P9_2022-07-19_IR2_00678,
pair_0006,SAME_SCENE,0.9197,0.9155~0.9228,1,0,P10,IR2,IR2,val,test,P10/A1_B3_P10_2022-07-19_IR2_03610,P10/A1_B3_P10_2022-07-19_IR2_03674,
pair_0088,SAME_SCENE,0.9194,0.9155~0.9228,1,0,P1,IR3,IR3,val,train,P1/A3_B4_P1_2022-07-15_IR3_00468,P1/A2_B1_P1_2022-07-11_IR3_04564,
pair_0016,SAME_SCENE,0.9185,0.9155~0.9228,1,0,P8,IR3,IR3,train,test,P8/A2_B1_P8_2022-07-11_IR3_03222,P8/A2_B1_P8_2022-07-11_IR3_03356,
pair_0062,SAME_SCENE,0.9184,0.9155~0.9228,1,0,P9,IR3,IR3,test,train,P9/A1_B3_P9_2022-07-19_IR3_00113,P9/A1_B3_P9_2022-07-19_IR3_00148,
pair_0038,SAME_SCENE,0.9157,0.9155~0.9228,1,0,P1,IR3,IR3,train,val,P1/A1_B1_P1_2022-07-19_IR3_00621,P1/A1_B1_P1_2022-07-19_IR3_00719,
pair_0052,SAME_SCENE,0.9126,0.9079~0.9155,0,0,P9,IR2,IR2,train,test,P9/A2_B1_P9_2022-07-11_IR2_6_02036,P9/A2_B1_P9_2022-07-11_IR2_9_00408,
