pair_id,rel_a,rel_b,image_id_a,image_id_b,panel,camera_a,camera_b,session_a,session_b,same_session,cluster_a,cluster_b,same_cluster,split_a,split_b,hamming,cosine,cos_bin,cell
pair_0001,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_3_01170.jpg,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_01305.jpg,P9/A2_B1_P9_2022-07-11_IR2_3_01170,P9/A2_B1_P9_2022-07-11_IR2_4_01305,P9,IR2,IR2,3,4,0,P9-C83134,P9-C83848,0,test,val,12,0.9052,0.9000~0.9079,P9|IR2|diff|0.9000~0.9079
pair_0002,P1-TR반/A3_B4_P1_2022-07-15_IR2_09214.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_01101.jpg,P1/A3_B4_P1_2022-07-15_IR2_09214,P1/A3_B4_P1_2022-07-15_IR2_01101,P1,IR2,IR2,,,1,P1-C44642,P1-C43290,0,test,val,12,0.9193,0.9155~0.9228,P1|IR2|same|0.9155~0.9228
pair_0003,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_4_00810.jpg,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_03896.jpg,P9/A2_B1_P9_2022-07-11_IR2_4_00810,P9/A3_B2_P9_2022-07-15_IR2_03896,P9,IR2,IR2,4,,0,P9-C83678,P9-C91586,0,test,train,16,0.9015,0.9000~0.9079,P9|IR2|diff|0.9000~0.9079
pair_0004,P9-MCCB반/A3_B2_P9_2022-07-15_IR2_05718.jpg,P9-MCCB반/A3_B3_P9_2022-07-15_IR2_01979.jpg,P9/A3_B2_P9_2022-07-15_IR2_05718,P9/A3_B3_P9_2022-07-15_IR2_01979,P9,IR2,IR2,,,1,P9-C92328,P9-C95271,0,val,train,12,0.9148,0.9079~0.9155,P9|IR2|same|0.9079~0.9155
pair_0005,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_2_01839.jpg,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_5_00958.jpg,P1/A2_B1_P1_2022-07-11_IR2_2_01839,P1/A2_B1_P1_2022-07-11_IR2_5_00958,P1,IR2,IR2,2,5,0,P1-C20822,P1-C23667,0,test,train,10,0.9292,0.9228~0.9300,P1|IR2|diff|0.9228~0.9300
pair_0006,P10-ACB&MCCB반/A1_B3_P10_2022-07-19_IR2_03610.jpg,P10-ACB&MCCB반/A1_B3_P10_2022-07-19_IR2_03674.jpg,P10/A1_B3_P10_2022-07-19_IR2_03610,P10/A1_B3_P10_2022-07-19_IR2_03674,P10,IR2,IR2,,,1,P10-C101877,P10-C101896,0,val,test,12,0.9197,0.9155~0.9228,P10|IR2|same|0.9155~0.9228
pair_0007,P1-TR반/A3_B4_P1_2022-07-15_IR2_09893.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_03890.jpg,P1/A3_B4_P1_2022-07-15_IR2_09893,P1/A3_B4_P1_2022-07-15_IR2_03890,P1,IR2,IR2,,,1,P1-C44863,P1-C44451,0,train,test,10,0.9268,0.9228~0.9300,P1|IR2|same|0.9228~0.9300
pair_0008,P3-MOF반/A2_B1_P3_2022-07-11_IR3_02005.jpg,P3-MOF반/A2_B1_P3_2022-07-11_IR3_02514.jpg,P3/A2_B1_P3_2022-07-11_IR3_02005,P3/A2_B1_P3_2022-07-11_IR3_02514,P3,IR3,IR3,,,1,P3-C50618,P3-C50853,0,val,train,12,0.925,0.9228~0.9300,P3|IR3|same|0.9228~0.9300
pair_0009,P9-MCCB반/A2_B1_P9_2022-07-11_IR2_10_01726.jpg,P9-MCCB반/A3_B4_P9_2022-07-15_IR2_01802.jpg,P9/A2_B1_P9_2022-07-11_IR2_10_01726,P9/A3_B4_P9_2022-07-15_IR2_01802,P9,IR2,IR2,10,,0,P9-C82361,P9-C96251,0,test,train,14,0.9082,0.9079~0.9155,P9|IR2|diff|0.9079~0.9155
pair_0010,P1-TR반/New Folder With Items/A2_B1_P1_2022-07-11_IR2_6_01845.jpg,P1-TR반/New Folder With Items/A3_B4_P1_2022-07-15_IR2_07868.jpg,P1/A2_B1_P1_2022-07-11_IR2_6_01845,P1/A3_B4_P1_2022-07-15_IR2_07868,P1,IR2,IR2,6,,0,P1-C25384,P1-C45668,0,train,test,14,0.9044,0.9000~0.9079,P1|IR2|diff|0.9000~0.9079
