cell,population,population_pct,sampled
(잔층 115개 묶음),6231,15.13,16
P1|IR2|same|0.9228~0.9300,2338,5.677,5
P1|IR2|same|0.9155~0.9228,2228,5.41,5
P9|IR2|diff|0.9079~0.9155,2192,5.322,5
P1|IR2|same|0.9079~0.9155,2167,5.262,5
P9|IR2|diff|0.9000~0.9079,2160,5.245,5
P9|IR2|diff|0.9155~0.9228,2048,4.973,5
P1|IR2|same|0.9000~0.9079,1960,4.759,5
P1|IR3|same|0.9000~0.9079,1952,4.74,4
P9|IR2|diff|0.9228~0.9300,1807,4.388,4
P1|IR3|same|0.9079~0.9155,1645,3.994,4
P9|IR2|same|0.9228~0.9300,1510,3.666,4
P1|IR3|same|0.9155~0.9228,1466,3.56,4
P9|IR2|same|0.9155~0.9228,1466,3.56,4
P9|IR2|same|0.9079~0.9155,1460,3.545,4
P9|IR2|same|0.9000~0.9079,1420,3.448,3
P1|IR3|same|0.9228~0.9300,1286,3.123,3
P1|IR2|diff|0.9000~0.9079,1257,3.052,3
P1|IR2|diff|0.9079~0.9155,1216,2.953,3
P1|IR2|diff|0.9155~0.9228,1215,2.95,3
P1|IR2|diff|0.9228~0.9300,1090,2.647,3
P6|IR3|same|0.9228~0.9300,304,0.738,1
P9|IR3|same|0.9228~0.9300,304,0.738,1
P3|IR3|same|0.9228~0.9300,245,0.595,1
P9|IR3|same|0.9155~0.9228,217,0.527,1
