panel_id,image,box_index,class_id,class_name,osd_area_ratio,osd_pixels,threshold
P1,A1_B1_P1_2022-05-12_IR1_00001,0,2,mold_tr_contact,0.0244,17,0.3
P1,A1_B1_P1_2022-05-12_IR1_00001,1,0,core_iron,0.0005,2,0.3
P1,A1_B1_P1_2022-05-12_IR1_00001,2,2,mold_tr_contact,0.0244,17,0.3
P1,A1_B1_P1_2022-05-12_IR1_00001,7,2,mold_tr_contact,0.0250,7,0.3
P1,A1_B1_P1_2022-05-12_IR1_00002,1,1,epoxy_surface,0.0086,60,0.3
P1,A1_B1_P1_2022-05-12_IR1_00002,2,1,epoxy_surface,0.0086,59,0.3
P1,A1_B1_P1_2022-05-12_IR1_00002,3,1,epoxy_surface,0.0028,19,0.3
P1,A1_B1_P1_2022-05-12_IR1_00003,0,2,mold_tr_contact,0.0281,13,0.3
P1,A1_B1_P1_2022-05-12_IR1_00003,2,2,mold_tr_contact,0.0256,15,0.3
P1,A1_B1_P1_2022-05-12_IR1_00003,3,0,core_iron,0.0041,15,0.3
P1,A1_B1_P1_2022-05-12_IR1_00003,4,0,core_iron,0.0381,144,0.3
P1,A1_B1_P1_2022-05-12_IR1_00003,5,2,mold_tr_contact,0.0376,22,0.3
P1,A1_B1_P1_2022-05-12_IR1_00004,0,1,epoxy_surface,0.0130,75,0.3
P1,A1_B1_P1_2022-05-12_IR1_00004,4,1,epoxy_surface,0.0029,17,0.3
P1,A1_B1_P1_2022-05-12_IR1_00004,5,1,epoxy_surface,0.0127,74,0.3
P1,A1_B1_P1_2022-05-12_IR1_00005,1,1,epoxy_surface,0.0123,76,0.3
P1,A1_B1_P1_2022-05-12_IR1_00005,2,1,epoxy_surface,0.0015,8,0.3
P1,A1_B1_P1_2022-05-12_IR1_00005,7,1,epoxy_surface,0.0125,75,0.3
P1,A1_B1_P1_2022-05-12_IR1_00006,0,1,epoxy_surface,0.0060,75,0.3
P1,A1_B1_P1_2022-05-12_IR1_00006,1,1,epoxy_surface,0.0081,100,0.3
P1,A1_B1_P1_2022-05-12_IR1_00006,3,0,core_iron,0.0223,133,0.3
P1,A1_B1_P1_2022-05-12_IR1_00006,5,1,epoxy_surface,0.0016,20,0.3
P1,A1_B1_P1_2022-05-12_IR1_00006,6,2,mold_tr_contact,0.0279,18,0.3
P1,A1_B1_P1_2022-05-12_IR1_00007,0,1,epoxy_surface,0.0131,79,0.3
P1,A1_B1_P1_2022-05-12_IR1_00007,1,1,epoxy_surface,0.0093,93,0.3
P1,A1_B1_P1_2022-05-12_IR1_00007,4,0,core_iron,0.0051,26,0.3
P1,A1_B1_P1_2022-05-12_IR1_00008,0,1,epoxy_surface,0.0085,93,0.3
P1,A1_B1_P1_2022-05-12_IR1_00008,1,0,core_iron,0.0061,30,0.3
P1,A1_B1_P1_2022-05-12_IR1_00008,2,2,mold_tr_contact,0.0244,19,0.3
P1,A1_B1_P1_2022-05-12_IR1_00008,3,2,mold_tr_contact,0.0092,7,0.3
P1,A1_B1_P1_2022-05-12_IR1_00008,5,1,epoxy_surface,0.0186,113,0.3
P1,A1_B1_P1_2022-05-12_IR1_00009,0,0,core_iron,0.0040,20,0.3
P1,A1_B1_P1_2022-05-12_IR1_00009,1,1,epoxy_surface,0.0176,152,0.3
P1,A1_B1_P1_2022-05-12_IR1_00009,2,2,mold_tr_contact,0.0185,14,0.3
P1,A1_B1_P1_2022-05-12_IR1_00009,3,1,epoxy_surface,0.0074,93,0.3
P1,A1_B1_P1_2022-05-12_IR1_00009,4,2,mold_tr_contact,0.0046,5,0.3
P1,A1_B1_P1_2022-05-12_IR1_00009,5,2,mold_tr_contact,0.0176,20,0.3
P1,A1_B1_P1_2022-05-12_IR1_00010,0,0,core_iron,0.0026,12,0.3
P1,A1_B1_P1_2022-05-12_IR1_00010,1,1,epoxy_surface,0.0202,124,0.3
P1,A1_B1_P1_2022-05-12_IR1_00010,2,2,mold_tr_contact,0.0511,46,0.3
P1,A1_B1_P1_2022-05-12_IR1_00010,3,2,mold_tr_contact,0.0139,13,0.3
P1,A1_B1_P1_2022-05-12_IR1_00010,4,1,epoxy_surface,0.0070,91,0.3
P1,A1_B1_P1_2022-05-12_IR1_00011,0,1,epoxy_surface,0.0150,166,0.3
P1,A1_B1_P1_2022-05-12_IR1_00011,1,0,core_iron,0.0018,10,0.3
P1,A1_B1_P1_2022-05-12_IR1_00011,2,2,mold_tr_contact,0.0176,17,0.3
P1,A1_B1_P1_2022-05-12_IR1_00011,3,2,mold_tr_contact,0.0154,13,0.3
P1,A1_B1_P1_2022-05-12_IR1_00011,4,2,mold_tr_contact,0.0752,79,0.3
P1,A1_B1_P1_2022-05-12_IR1_00011,5,1,epoxy_surface,0.0067,93,0.3
P1,A1_B1_P1_2022-05-12_IR1_00012,0,2,mold_tr_contact,0.0191,21,0.3
P1,A1_B1_P1_2022-05-12_IR1_00012,1,2,mold_tr_contact,0.0194,20,0.3
P1,A1_B1_P1_2022-05-12_IR1_00012,2,1,epoxy_surface,0.0069,92,0.3
P1,A1_B1_P1_2022-05-12_IR1_00012,3,1,epoxy_surface,0.0150,165,0.3
P1,A1_B1_P1_2022-05-12_IR1_00012,4,0,core_iron,0.0036,21,0.3
P1,A1_B1_P1_2022-05-12_IR1_00012,5,2,mold_tr_contact,0.0102,11,0.3
P1,A1_B1_P1_2022-05-12_IR1_00013,0,1,epoxy_surface,0.0170,134,0.3
P1,A1_B1_P1_2022-05-12_IR1_00013,1,0,core_iron,0.0068,58,0.3
P1,A1_B1_P1_2022-05-12_IR1_00013,2,2,mold_tr_contact,0.0152,18,0.3
P1,A1_B1_P1_2022-05-12_IR1_00013,3,1,epoxy_surface,0.0090,93,0.3
P1,A1_B1_P1_2022-05-12_IR1_00013,5,2,mold_tr_contact,0.0019,2,0.3
P1,A1_B1_P1_2022-05-12_IR1_00013,7,1,epoxy_surface,0.0102,88,0.3
P1,A1_B1_P1_2022-05-12_IR1_00014,0,2,mold_tr_contact,0.0051,6,0.3
P1,A1_B1_P1_2022-05-12_IR1_00014,1,1,epoxy_surface,0.0187,149,0.3
P1,A1_B1_P1_2022-05-12_IR1_00014,2,2,mold_tr_contact,0.0080,7,0.3
P1,A1_B1_P1_2022-05-12_IR1_00014,3,1,epoxy_surface,0.0071,93,0.3
P1,A1_B1_P1_2022-05-12_IR1_00014,4,1,epoxy_surface,0.0027,35,0.3
P1,A1_B1_P1_2022-05-12_IR1_00014,5,0,core_iron,0.0032,24,0.3
P1,A1_B1_P1_2022-05-12_IR1_00014,7,2,mold_tr_contact,0.0184,23,0.3
P1,A1_B1_P1_2022-05-12_IR1_00015,0,2,mold_tr_contact,0.0015,2,0.3
P1,A1_B1_P1_2022-05-12_IR1_00015,1,2,mold_tr_contact,0.0072,8,0.3
P1,A1_B1_P1_2022-05-12_IR1_00015,2,2,mold_tr_contact,0.0367,44,0.3
P1,A1_B1_P1_2022-05-12_IR1_00015,3,1,epoxy_surface,0.0078,93,0.3
P1,A1_B1_P1_2022-05-12_IR1_00015,4,1,epoxy_surface,0.0135,96,0.3
P1,A1_B1_P1_2022-05-12_IR1_00015,5,1,epoxy_surface,0.0042,49,0.3
P1,A1_B1_P1_2022-05-12_IR1_00015,6,0,core_iron,0.0040,30,0.3
P1,A1_B1_P1_2022-05-12_IR1_00016,0,2,mold_tr_contact,0.0011,1,0.3
P1,A1_B1_P1_2022-05-12_IR1_00016,1,2,mold_tr_contact,0.0401,36,0.3
P1,A1_B1_P1_2022-05-12_IR1_00016,2,2,mold_tr_contact,0.0074,5,0.3
P1,A1_B1_P1_2022-05-12_IR1_00016,3,1,epoxy_surface,0.0077,92,0.3
P1,A1_B1_P1_2022-05-12_IR1_00016,4,1,epoxy_surface,0.0047,61,0.3
P1,A1_B1_P1_2022-05-12_IR1_00016,5,1,epoxy_surface,0.0139,100,0.3
P1,A1_B1_P1_2022-05-12_IR1_00016,6,0,core_iron,0.0027,21,0.3
P1,A1_B1_P1_2022-05-12_IR1_00016,7,2,mold_tr_contact,0.0024,3,0.3
P1,A1_B1_P1_2022-05-12_IR1_00017,0,1,epoxy_surface,0.0062,96,0.3
P1,A1_B1_P1_2022-05-12_IR1_00017,1,1,epoxy_surface,0.0191,165,0.3
P1,A1_B1_P1_2022-05-12_IR1_00017,4,1,epoxy_surface,0.0023,36,0.3
P1,A1_B1_P1_2022-05-12_IR1_00017,5,0,core_iron,0.0164,143,0.3
P1,A1_B1_P1_2022-05-12_IR1_00018,0,0,core_iron,0.0047,44,0.3
P1,A1_B1_P1_2022-05-12_IR1_00018,1,1,epoxy_surface,0.0102,138,0.3
P1,A1_B1_P1_2022-05-12_IR1_00018,2,1,epoxy_surface,0.0069,96,0.3
P1,A1_B1_P1_2022-05-12_IR1_00018,3,1,epoxy_surface,0.0143,167,0.3
P1,A1_B1_P1_2022-05-12_IR1_00018,4,2,mold_tr_contact,0.0222,14,0.3
P1,A1_B1_P1_2022-05-12_IR1_00018,6,2,mold_tr_contact,0.0233,15,0.3
P1,A1_B1_P1_2022-05-12_IR1_00019,0,2,mold_tr_contact,0.0899,62,0.3
P1,A1_B1_P1_2022-05-12_IR1_00019,1,2,mold_tr_contact,0.0025,1,0.3
P1,A1_B1_P1_2022-05-12_IR1_00019,2,2,mold_tr_contact,0.0148,7,0.3
P1,A1_B1_P1_2022-05-12_IR1_00019,3,1,epoxy_surface,0.0158,146,0.3
P1,A1_B1_P1_2022-05-12_IR1_00019,4,1,epoxy_surface,0.0072,107,0.3
P1,A1_B1_P1_2022-05-12_IR1_00019,5,1,epoxy_surface,0.0090,119,0.3
P1,A1_B1_P1_2022-05-12_IR1_00019,6,2,mold_tr_contact,0.0311,21,0.3
P1,A1_B1_P1_2022-05-12_IR1_00019,7,0,core_iron,0.0048,45,0.3
P1,A1_B1_P1_2022-05-12_IR1_00020,0,1,epoxy_surface,0.0030,37,0.3
P1,A1_B1_P1_2022-05-12_IR1_00020,1,2,mold_tr_contact,0.0217,14,0.3
P1,A1_B1_P1_2022-05-12_IR1_00020,2,2,mold_tr_contact,0.0095,6,0.3
P1,A1_B1_P1_2022-05-12_IR1_00020,3,2,mold_tr_contact,0.0031,2,0.3
P1,A1_B1_P1_2022-05-12_IR1_00020,4,0,core_iron,0.0031,29,0.3
P1,A1_B1_P1_2022-05-12_IR1_00020,5,1,epoxy_surface,0.0077,103,0.3
P1,A1_B1_P1_2022-05-12_IR1_00020,7,1,epoxy_surface,0.0179,124,0.3
P1,A1_B1_P1_2022-05-12_IR1_00021,0,1,epoxy_surface,0.0087,118,0.3
P1,A1_B1_P1_2022-05-12_IR1_00021,1,2,mold_tr_contact,0.0185,7,0.3
P1,A1_B1_P1_2022-05-12_IR1_00021,2,0,core_iron,0.0044,35,0.3
P1,A1_B1_P1_2022-05-12_IR1_00021,4,1,epoxy_surface,0.0071,103,0.3
P1,A1_B1_P1_2022-05-12_IR1_00021,5,2,mold_tr_contact,0.0140,9,0.3
P1,A1_B1_P1_2022-05-12_IR1_00022,0,1,epoxy_surface,0.0129,122,0.3
P1,A1_B1_P1_2022-05-12_IR1_00022,1,2,mold_tr_contact,0.0128,9,0.3
P1,A1_B1_P1_2022-05-12_IR1_00022,2,0,core_iron,0.0037,17,0.3
P1,A1_B1_P1_2022-05-12_IR1_00022,3,1,epoxy_surface,0.0049,63,0.3
P1,A1_B1_P1_2022-05-12_IR1_00023,0,2,mold_tr_contact,0.0027,1,0.3
P1,A1_B1_P1_2022-05-12_IR1_00023,1,1,epoxy_surface,0.0172,125,0.3
P1,A1_B1_P1_2022-05-12_IR1_00023,2,1,epoxy_surface,0.0033,44,0.3
P1,A1_B1_P1_2022-05-12_IR1_00023,3,0,core_iron,0.0071,29,0.3
P1,A1_B1_P1_2022-05-12_IR1_00024,0,2,mold_tr_contact,0.0737,21,0.3
P1,A1_B1_P1_2022-05-12_IR1_00024,1,0,core_iron,0.0074,36,0.3
P1,A1_B1_P1_2022-05-12_IR1_00024,3,1,epoxy_surface,0.0124,123,0.3
P1,A1_B1_P1_2022-05-12_IR1_00024,4,1,epoxy_surface,0.0045,63,0.3
P1,A1_B1_P1_2022-05-12_IR1_00025,0,1,epoxy_surface,0.0064,94,0.3
P1,A1_B1_P1_2022-05-12_IR1_00025,2,0,core_iron,0.0179,97,0.3
P1,A1_B1_P1_2022-05-12_IR1_00025,3,1,epoxy_surface,0.0102,143,0.3
P1,A1_B1_P1_2022-05-12_IR1_00026,0,1,epoxy_surface,0.0103,105,0.3
P1,A1_B1_P1_2022-05-12_IR1_00026,1,2,mold_tr_contact,0.0174,15,0.3
P1,A1_B1_P1_2022-05-12_IR1_00026,2,0,core_iron,0.0025,16,0.3
P1,A1_B1_P1_2022-05-12_IR1_00026,3,1,epoxy_surface,0.0065,87,0.3
P1,A1_B1_P1_2022-05-12_IR1_00026,4,1,epoxy_surface,0.0101,120,0.3
P1,A1_B1_P1_2022-05-12_IR1_00026,5,2,mold_tr_contact,0.0270,17,0.3
P1,A1_B1_P1_2022-05-12_IR1_00026,6,2,mold_tr_contact,0.0207,17,0.3
P1,A1_B1_P1_2022-05-12_IR1_00027,0,1,epoxy_surface,0.0075,68,0.3
P1,A1_B1_P1_2022-05-12_IR1_00027,1,1,epoxy_surface,0.0139,56,0.3
P1,A1_B1_P1_2022-05-12_IR1_00027,2,0,core_iron,0.0055,34,0.3
P1,A1_B1_P1_2022-05-12_IR1_00027,4,2,mold_tr_contact,0.0133,17,0.3
P1,A1_B1_P1_2022-05-12_IR1_00028,0,0,core_iron,0.0054,34,0.3
P1,A1_B1_P1_2022-05-12_IR1_00028,1,2,mold_tr_contact,0.0055,8,0.3
P1,A1_B1_P1_2022-05-12_IR1_00028,2,2,mold_tr_contact,0.0376,55,0.3
P1,A1_B1_P1_2022-05-12_IR1_00028,3,1,epoxy_surface,0.0139,66,0.3
P1,A1_B1_P1_2022-05-12_IR1_00028,4,1,epoxy_surface,0.0073,69,0.3
P1,A1_B1_P1_2022-05-12_IR1_00029,0,2,mold_tr_contact,0.0069,10,0.3
P1,A1_B1_P1_2022-05-12_IR1_00029,1,0,core_iron,0.0078,34,0.3
P1,A1_B1_P1_2022-05-12_IR1_00029,2,1,epoxy_surface,0.0105,82,0.3
P1,A1_B1_P1_2022-05-12_IR1_00030,0,0,core_iron,0.0110,34,0.3
P1,A1_B1_P1_2022-05-12_IR1_00030,1,1,epoxy_surface,0.0121,85,0.3
P1,A1_B1_P1_2022-05-12_IR1_00030,2,2,mold_tr_contact,0.0330,41,0.3
P1,A1_B1_P1_2022-05-12_IR1_00031,0,0,core_iron,0.0160,49,0.3
P1,A1_B1_P1_2022-05-12_IR1_00031,1,1,epoxy_surface,0.0106,143,0.3
P1,A1_B1_P1_2022-05-12_IR1_00032,0,0,core_iron,0.0165,94,0.3
P1,A1_B1_P1_2022-05-12_IR1_00032,1,1,epoxy_surface,0.0028,46,0.3
P1,A1_B1_P1_2022-05-12_IR1_00032,2,1,epoxy_surface,0.0188,141,0.3
