mask_kind,freq_threshold,osd_pixels,osd_pct_of_frame,boxes_touched,boxes_total,touched_pct,ratio_gt_1pct,ratio_gt_5pct,ratio_gt_10pct,ratio_gt_25pct,ratio_gt_50pct
빈도만,0.1,2141,0.0279,3068,4177,0.7345,1947,236,46,3,0
빈도만,0.2,1389,0.0181,3063,4177,0.7333,1960,91,15,0,0
빈도만,0.3,947,0.0123,2994,4177,0.7168,1483,49,8,0,0
빈도만,0.4,170,0.0022,766,4177,0.1834,91,6,6,0,0
빈도만,0.5,92,0.0012,704,4177,0.1685,37,2,5,0,0
영역결합,0.1,2141,0.0279,3068,4177,0.7345,1947,236,46,3,0
영역결합,0.2,1389,0.0181,3063,4177,0.7333,1960,91,15,0,0
영역결합,0.3,947,0.0123,2994,4177,0.7168,1483,49,8,0,0
영역결합,0.4,170,0.0022,766,4177,0.1834,91,6,6,0,0
영역결합,0.5,92,0.0012,704,4177,0.1685,37,2,5,0,0
