panel_id,folder_name,panel_priority,image_count,rgb_pair_count,rgb_paired_ir_count,rgb_pair_ratio,capture_sessions,cameras,existing_label_files,existing_bbox_count,existing_class_count,candidate_class_count,labelable_class_count,provisional,status,notes
P1,P1-TR반,1,45721,868,867,0.0190,35,IR1:786 IR2:23234 IR3:21701,757,3574,4,4,4,0,라벨 일부 존재,하위폴더: New Folder With Items
P2,P2-LBS&LA반,2,3677,232,226,0.0615,12,IR1:220 IR2:1707 IR3:1750,0,0,0,6,6,0,미착수,
P3,P3-MOF반,3,2163,80,79,0.0365,7,IR1:66 IR2:362 IR3:1735,66,227,2,3,3,1,라벨 일부 존재,가이드에 단독 상세 없음 — 후보 클래스 잠정
P4,P4-MOF&PT반,3,2288,185,184,0.0804,7,IR1:184 IR2:1112 IR3:992,184,376,5,6,6,0,라벨 일부 존재,
P5,P5-PF&PT반,4,5015,172,168,0.0335,10,IR1:164 IR2:1935 IR3:2916,0,0,0,4,4,0,미착수,
P6,P6-VCB반,5,9395,389,386,0.0411,26,IR1:372 IR2:4671 IR3:4352,0,0,0,4,4,0,미착수,
P7,P7-VCB&CT반,8,1506,45,44,0.0292,7,IR1:34 IR2:557 IR3:915,0,0,0,3,3,0,미착수,
P8,P8-ACB반,9,5513,196,196,0.0356,19,IR1:198 IR2:2373 IR3:2942,0,0,0,4,3,0,미착수,
P9,P9-MCCB반,10,23074,433,433,0.0188,37,IR1:414 IR2:13435 IR3:9225,0,0,0,2,2,1,미착수,가이드에 단독 상세 없음 — 후보 클래스 잠정
P10,P10-ACB&MCCB반,9,8333,74,74,0.0089,15,IR1:74 IR2:5300 IR3:2959,0,0,0,4,3,0,미착수,
P11,P11-CNCV반,,,,,,,,0,0,0,,,,삭제됨(2026-08-27),3-가공.zip 에서 복구 가능
P12,P12-배선반,,,,,,,,0,0,0,,,,삭제됨(2026-08-27),3-가공.zip 에서 복구 가능
P13,P13-기타,,,,,,,,0,0,0,,,,삭제됨(2026-08-27),3-가공.zip 에서 복구 가능
