axis,value,total,train,val,test,train_pct,val_pct,test_pct
panel,P1,45721,32007,6927,6787,0.7001,0.1515,0.1484
panel,P10,8333,5855,1274,1204,0.7026,0.1529,0.1445
panel,P2,3677,2510,562,605,0.6826,0.1528,0.1645
panel,P3,2163,1557,292,314,0.7198,0.1350,0.1452
panel,P4,2288,1586,352,350,0.6932,0.1538,0.1530
panel,P5,5015,3540,715,760,0.7059,0.1426,0.1515
panel,P6,9395,6519,1418,1458,0.6939,0.1509,0.1552
panel,P7,1506,1069,218,219,0.7098,0.1448,0.1454
panel,P8,5513,3730,898,885,0.6766,0.1629,0.1605
panel,P9,23074,16215,3319,3540,0.7027,0.1438,0.1534
camera,IR1,2512,1755,376,381,0.6986,0.1497,0.1517
camera,IR2,54686,38312,8116,8258,0.7006,0.1484,0.1510
camera,IR3,49487,34521,7483,7483,0.6976,0.1512,0.1512
