axis,value,total,train,val,test,train_pct,val_pct,test_pct
panel,P1,45721,33018,6135,6568,0.7222,0.1342,0.1437
panel,P10,8333,5142,1921,1270,0.6171,0.2305,0.1524
panel,P2,3677,2898,69,710,0.7881,0.0188,0.1931
panel,P3,2163,1308,207,648,0.6047,0.0957,0.2996
panel,P4,2288,1758,0,530,0.7684,0.0000,0.2316
panel,P5,5015,4177,135,703,0.8329,0.0269,0.1402
panel,P6,9395,6410,1795,1190,0.6823,0.1911,0.1267
panel,P7,1506,588,0,918,0.3904,0.0000,0.6096
panel,P8,5513,4101,789,623,0.7439,0.1431,0.1130
panel,P9,23074,16805,2554,3715,0.7283,0.1107,0.1610
camera,IR1,2512,1586,352,574,0.6314,0.1401,0.2285
camera,IR2,54686,37988,10071,6627,0.6947,0.1842,0.1212
camera,IR3,49487,36631,3182,9674,0.7402,0.0643,0.1955
