panel,session,seed_candidates_in_session,selected_for_trial,reason
P1-TR반,P1|A1_B1_2022-07-19_IR3_,1,1,선정 — 세션당 1장
P1-TR반,P1|A1_B1_2022-07-25_IR2_,1,1,선정 — 세션당 1장
P1-TR반,P1|A1_B2_2022-07-19_IR2_,1,1,선정 — 세션당 1장
P1-TR반,P1|A1_B2_2022-07-19_IR3_,2,1,선정 — 세션당 1장
P1-TR반,P1|A1_B3_2022-07-19_IR2_,2,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A1_B3_2022-07-19_IR3_,1,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A2_B1_2022-07-11_IR2_1,1,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A2_B1_2022-07-11_IR2_2,1,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A2_B1_2022-07-11_IR2_3,1,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A2_B1_2022-07-11_IR2_4,1,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A2_B1_2022-07-11_IR2_5,1,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A2_B1_2022-07-11_IR2_6,1,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A2_B1_2022-07-11_IR2_7,1,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A2_B1_2022-07-11_IR3_,4,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A3_B1_2022-07-01_IR3_,1,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A3_B2_2022-07-15_IR2_,1,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A3_B2_2022-07-15_IR3_,1,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A3_B3_2022-07-15_IR2_,1,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A3_B3_2022-07-15_IR3_,2,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A3_B4_2022-07-15_IR2_,1,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A3_B4_2022-07-15_IR3_,2,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P1-TR반,P1|A3_B5_2022-07-01_IR3_,2,0,미선정 — P1-TR반 할당 4장을 앞선 세션들이 채웠다. 탈락이 아니라 시드 400장에 남아 있다
P10-ACB&MCCB반,P10|A1_B1_2022-05-12_IR1_,1,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P10-ACB&MCCB반,P10|A1_B1_2022-07-19_IR2_,3,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P10-ACB&MCCB반,P10|A1_B1_2022-07-19_IR3_,3,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P10-ACB&MCCB반,P10|A1_B1_2022-07-25_IR2_,1,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P10-ACB&MCCB반,P10|A1_B1_2022-07-27_IR2_,1,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P10-ACB&MCCB반,P10|A1_B3_2022-07-19_IR2_,3,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P10-ACB&MCCB반,P10|A2_B1_2022-07-11_IR2_1,1,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P10-ACB&MCCB반,P10|A2_B1_2022-07-11_IR2_2,1,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P10-ACB&MCCB반,P10|A2_B1_2022-07-11_IR2_3,1,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P10-ACB&MCCB반,P10|A2_B1_2022-07-11_IR2_4,1,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P10-ACB&MCCB반,P10|A2_B1_2022-07-11_IR2_5,1,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P10-ACB&MCCB반,P10|A2_B1_2022-07-11_IR3_,8,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P10-ACB&MCCB반,P10|A3_B2_2022-07-15_IR2_,2,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P10-ACB&MCCB반,P10|A3_B2_2022-07-15_IR3_,3,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P2-LBS&LA반,P2|A1_B1_2022-05-12_IR1_,2,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P2-LBS&LA반,P2|A1_B1_2022-06-03_IR1_,1,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P2-LBS&LA반,P2|A1_B1_2022-06-17_IR1_,1,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P2-LBS&LA반,P2|A1_B1_2022-07-19_IR2_,9,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P2-LBS&LA반,P2|A1_B1_2022-07-19_IR3_,21,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P2-LBS&LA반,P2|A1_B1_2022-07-25_IR2_,5,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
P2-LBS&LA반,P2|A1_B1_2022-07-27_IR2_,2,0,이 반은 단위 검증 4종 담당이 아니라 1차 시험셋 대상이 아니다
