pair,class_name,images_compared,images_skipped,matched_boxes,mIoU,kappa,count_agreement,skip_a,skip_b
annotator_A vs annotator_B,(전체),17,13,90,0.758,0.8565,0.5312,12,2
annotator_A vs annotator_B,철심부,,,0,,,,,
annotator_A vs annotator_B,에폭시 표면,,,3,0.8712,,,,
annotator_A vs annotator_B,몰드변압기 접촉부,,,7,0.8185,,,,
annotator_A vs annotator_B,한류형 전력퓨즈,,,0,,,,,
annotator_A vs annotator_B,비한류형 전력퓨즈,,,0,,,,,
annotator_A vs annotator_B,몰드타입 PT,,,3,0.8457,,,,
annotator_A vs annotator_B,케이블헤드,,,0,,,,,
annotator_A vs annotator_B,CT,,,0,,,,,
annotator_A vs annotator_B,SA,,,0,,,,,
annotator_A vs annotator_B,MCCB,,,28,0.7802,,,,
annotator_A vs annotator_B,MCCB 접촉부,,,40,0.722,,,,
annotator_A vs annotator_C,(전체),15,15,102,0.7683,0.9543,0.6667,12,12
annotator_A vs annotator_C,철심부,,,3,0.6736,,,,
annotator_A vs annotator_C,에폭시 표면,,,3,0.8331,,,,
annotator_A vs annotator_C,몰드변압기 접촉부,,,5,0.8853,,,,
annotator_A vs annotator_C,LA,,,0,,,,,
annotator_A vs annotator_C,비한류형 전력퓨즈,,,0,,,,,
annotator_A vs annotator_C,케이블헤드,,,4,0.8321,,,,
annotator_A vs annotator_C,CT,,,2,0.7669,,,,
annotator_A vs annotator_C,MCCB,,,29,0.8462,,,,
annotator_A vs annotator_C,MCCB 접촉부,,,53,0.7197,,,,
annotator_A vs annotator_D,(전체),17,13,109,0.7996,0.9724,0.8,12,7
annotator_A vs annotator_D,철심부,,,6,0.7833,,,,
annotator_A vs annotator_D,에폭시 표면,,,6,0.8899,,,,
annotator_A vs annotator_D,몰드변압기 접촉부,,,5,0.9042,,,,
annotator_A vs annotator_D,비한류형 전력퓨즈,,,3,0.7466,,,,
annotator_A vs annotator_D,몰드타입 PT,,,3,0.9197,,,,
annotator_A vs annotator_D,케이블헤드,,,0,,,,,
annotator_A vs annotator_D,VCB 접촉부,,,0,,,,,
annotator_A vs annotator_D,CT,,,0,,,,,
annotator_A vs annotator_D,MCCB,,,29,0.8653,,,,
annotator_A vs annotator_D,MCCB 접촉부,,,55,0.7442,,,,
annotator_B vs annotator_C,(전체),17,13,89,0.7207,0.8957,0.5312,2,12
annotator_B vs annotator_C,철심부,,,0,,,,,
annotator_B vs annotator_C,몰드변압기 접촉부,,,5,0.7709,,,,
annotator_B vs annotator_C,한류형 전력퓨즈,,,0,,,,,
annotator_B vs annotator_C,LA,,,0,,,,,
annotator_B vs annotator_C,몰드타입 PT,,,0,,,,,
annotator_B vs annotator_C,케이블헤드,,,0,,,,,
annotator_B vs annotator_C,CT,,,0,,,,,
annotator_B vs annotator_C,MCCB,,,30,0.7696,,,,
annotator_B vs annotator_C,변류기 접촉부,,,5,0.7244,,,,
annotator_B vs annotator_C,MCCB 접촉부,,,43,0.6908,,,,
annotator_B vs annotator_D,(전체),22,8,90,0.7384,0.9195,0.4186,2,7
annotator_B vs annotator_D,철심부,,,0,,,,,
annotator_B vs annotator_D,에폭시 표면,,,3,0.8595,,,,
annotator_B vs annotator_D,몰드변압기 접촉부,,,5,0.8204,,,,
annotator_B vs annotator_D,한류형 전력퓨즈,,,0,,,,,
annotator_B vs annotator_D,변압기,,,0,,,,,
annotator_B vs annotator_D,변류기,,,0,,,,,
annotator_B vs annotator_D,비한류형 전력퓨즈,,,0,,,,,
annotator_B vs annotator_D,몰드타입 PT,,,5,0.8508,,,,
annotator_B vs annotator_D,케이블헤드,,,0,,,,,
annotator_B vs annotator_D,VCB 접촉부,,,0,,,,,
annotator_B vs annotator_D,MCCB,,,29,0.7654,,,,
annotator_B vs annotator_D,변류기 접촉부,,,3,0.7146,,,,
annotator_B vs annotator_D,MCCB 접촉부,,,40,0.6749,,,,
annotator_C vs annotator_D,(전체),17,13,102,0.7609,0.9232,0.5484,12,7
annotator_C vs annotator_D,철심부,,,3,0.6837,,,,
annotator_C vs annotator_D,에폭시 표면,,,3,0.8319,,,,
annotator_C vs annotator_D,몰드변압기 접촉부,,,5,0.8985,,,,
annotator_C vs annotator_D,LA,,,0,,,,,
annotator_C vs annotator_D,비한류형 전력퓨즈,,,0,,,,,
annotator_C vs annotator_D,몰드타입 PT,,,0,,,,,
annotator_C vs annotator_D,케이블헤드,,,0,,,,,
annotator_C vs annotator_D,VCB 접촉부,,,0,,,,,
annotator_C vs annotator_D,CT,,,0,,,,,
annotator_C vs annotator_D,MCCB,,,30,0.8581,,,,
annotator_C vs annotator_D,변류기 접촉부,,,3,0.7281,,,,
annotator_C vs annotator_D,MCCB 접촉부,,,53,0.698,,,,
