image,kind,auto_cause,a_box,e_box,iou,a_area,e_area,a_edges,e_edges,note_auto,verdict,note_human
# verdict 칸을 사람이 채운다 — 규칙문제 / 단위해석 / 보수적판단 / 기존과대 / 경계가림 / 판단불가,,,,,,,,,,,,
B01_같은클래스밀집,MATCHED,,3,13,0.894,0.00901,0.00919,0,0,,,
B01_같은클래스밀집,MATCHED,,0,7,0.864,0.00901,0.00857,0,0,,,
B01_같은클래스밀집,MATCHED,,6,6,0.831,0.00901,0.00914,0,0,,,
B01_같은클래스밀집,MATCHED,,10,1,0.819,0.00737,0.009,0,0,,,
B01_같은클래스밀집,MATCHED,,2,14,0.804,0.00901,0.00919,0,0,,,
B01_같은클래스밀집,MATCHED,,8,10,0.768,0.00737,0.0061,0,0,,,
B01_같은클래스밀집,MATCHED,,7,2,0.765,0.00901,0.00719,0,0,,,
B01_같은클래스밀집,MATCHED_LOW,경계 규칙,11,0,0.74,0.00737,0.00622,0,0,,,
B01_같은클래스밀집,MATCHED_LOW,경계 규칙,1,12,0.704,0.00901,0.00859,0,0,,,
B01_같은클래스밀집,MATCHED_LOW,경계 규칙,4,9,0.679,0.00901,0.00884,0,0,,,
B01_같은클래스밀집,MATCHED_LOW,경계 규칙,5,4,0.521,0.00901,0.00888,0,0,,,
B01_같은클래스밀집,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),9,3,0.48,,0.00732,,0,,,
B01_같은클래스밀집,A_MISSING,,,5,0.0,,0.00459,,1,프레임 접촉,그려야_함,
B01_같은클래스밀집,A_MISSING,,,8,0.0,,0.00258,,1,프레임 접촉,빼는게_맞음,
B01_같은클래스밀집,A_MISSING,,,11,0.0,,0.00246,,1,프레임 접촉,빼는게_맞음,
B01_같은클래스밀집,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),9,3,0.48,0.00737,,0,,,,
B01_작은객체,MATCHED,,0,6,0.824,0.02183,0.02177,0,0,,,
B01_작은객체,MATCHED_LOW,경계 규칙,4,2,0.602,0.00772,0.01282,1,1,,,
