image,kind,auto_cause,a_box,e_box,iou,a_area,e_area,a_edges,e_edges,note_auto,verdict,note_human
# verdict 칸을 사람이 채운다 — 규칙문제 / 단위해석 / 보수적판단 / 기존과대 / 경계가림 / 판단불가,,,,,,,,,,,,
B01_같은클래스겹침,MATCHED,,2,2,0.896,0.10148,0.11027,0,0,,,
B01_같은클래스겹침,MATCHED,,1,0,0.845,0.14243,0.14884,0,0,,,
B01_같은클래스겹침,MATCHED,,0,4,0.784,0.15129,0.14797,1,1,,,
B01_같은클래스겹침,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),,1,0.052,,0.07413,,1,프레임 접촉,,
B01_같은클래스겹침,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),,3,0.149,,0.02909,,1,프레임 접촉,,
B01_같은클래스밀집,MATCHED,,3,19,0.937,0.05927,0.05554,0,0,,,
B01_같은클래스밀집,MATCHED,,1,22,0.935,0.05927,0.06257,0,0,,,
B01_같은클래스밀집,MATCHED,,2,4,0.917,0.05927,0.05717,0,0,,,
B01_같은클래스밀집,MATCHED,,0,21,0.914,0.05927,0.06136,0,0,,,
B01_같은클래스밀집,MATCHED,,9,18,0.894,0.00901,0.00919,0,0,,,
B01_같은클래스밀집,MATCHED,,6,10,0.864,0.00901,0.00857,0,0,,,
B01_같은클래스밀집,MATCHED,,5,0,0.845,0.04588,0.05304,0,0,,,
B01_같은클래스밀집,MATCHED,,12,9,0.831,0.00901,0.00914,0,0,,,
B01_같은클래스밀집,MATCHED,,16,3,0.819,0.00737,0.009,0,0,,,
B01_같은클래스밀집,MATCHED,,8,20,0.804,0.00901,0.00919,0,0,,,
B01_같은클래스밀집,MATCHED,,14,15,0.768,0.00737,0.0061,0,0,,,
B01_같은클래스밀집,MATCHED,,13,5,0.765,0.00901,0.00719,0,0,,,
B01_같은클래스밀집,MATCHED,,4,14,0.761,0.04588,0.05381,0,0,,,
B01_같은클래스밀집,MATCHED_LOW,경계 규칙,17,2,0.74,0.00737,0.00622,0,0,,,
B01_같은클래스밀집,MATCHED_LOW,경계 규칙,7,17,0.704,0.00901,0.00859,0,0,,,
B01_같은클래스밀집,MATCHED_LOW,경계 규칙,10,13,0.679,0.00901,0.00884,0,0,,,
B01_같은클래스밀집,MATCHED_LOW,경계 규칙,11,7,0.521,0.00901,0.00888,0,0,,,
B01_같은클래스밀집,A_MISSING,,,1,0.0,,0.00623,,1,프레임 접촉,빼는게_맞음,
B01_같은클래스밀집,BOUNDARY_DIFF,경계 규칙 (겹치되 IoU<0.5),15,6,0.48,,0.00732,,0,,,
B01_같은클래스밀집,A_MISSING,,,8,0.0,,0.00459,,1,프레임 접촉,,
B01_같은클래스밀집,A_MISSING,,,11,0.0,,0.00258,,1,프레임 접촉,,
B01_같은클래스밀집,A_MISSING,,,12,0.0,,0.01944,,1,프레임 접촉, 빼는게_맞음,
