pair_id,image,panel,class_name,boxes,small_box,big_box,small_area,big_area,detail,image_file,verdict,note
# verdict: 작은쪽_유지 / 큰쪽_유지 / 둘다_유효 / 둘다_제외 / 판단불가,,,,,,,,,,,,
# 작은쪽/큰쪽 = small_box/big_box 열의 번호가 가리키는 박스,,,,,,,,,,,,
Q01,A1_B3_P1_2022-05-24_IR1_00019,P1,몰드변압기 접촉부,3+5,3,5,0.00169,0.00187,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.629),Q01.png,큰쪽_유지,
Q02,A1_B3_P1_2022-05-24_IR1_00038,P1,철심부,3+5,3,5,0.05144,0.05263,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.780),Q02.png,작은쪽_유지,
Q03,A1_B3_P1_2022-05-24_IR1_00039,P1,몰드변압기 접촉부,4+5,5,4,0.00085,0.001,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.469),Q03.png,작은쪽_유지,
Q04,A1_B3_P1_2022-05-24_IR1_00057,P1,몰드변압기 접촉부,1+4,4,1,0.00159,0.00234,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.645),Q04.png,작은쪽_유지,
Q05,A1_B3_P1_2022-05-24_IR1_00067,P1,몰드변압기 접촉부,5+6,5,6,0.00395,0.00463,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.845),Q05.png,작은쪽_유지,
Q06,A1_B3_P1_2022-05-24_IR1_00069,P1,몰드변압기 접촉부,4+5,5,4,0.00141,0.00156,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.695),Q06.png,작은쪽_유지,
Q07,A1_B3_P1_2022-05-24_IR1_00103,P1,몰드변압기 접촉부,1+2,2,1,0.00311,0.00349,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.665),Q07.png,작은쪽_유지,
Q08,A2_B1_P1_2022-06-03_IR1_00045,P1,몰드변압기 접촉부,2+3,3,2,0.00263,0.00498,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.505),Q08.png,큰쪽_유지,
Q09,A2_B1_P1_2022-06-03_IR1_00138,P1,몰드변압기 접촉부,1+5,5,1,0.00396,0.0076,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.502),Q09.png,큰쪽_유지,
Q10,A2_B1_P1_2022-06-03_IR1_00150,P1,몰드변압기 접촉부,0+5,5,0,0.00318,0.00463,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.685),Q10.png,작은쪽_유지,
Q11,A3_B2_P1_2022-06-17_IR1_00006,P1,몰드변압기 접촉부,0+2,2,0,0.02206,0.03287,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.670),Q11.png,큰쪽_유지,
Q12,A3_B3_P1_2022-06-17_IR1_00026,P1,몰드변압기 접촉부,3+4,4,3,0.05513,0.08519,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.647),Q12.png,큰쪽_유지,
Q13,A3_B3_P1_2022-06-17_IR1_00053,P1,에폭시 표면,0+2,0,2,0.05601,0.28399,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.177),Q13.png,큰쪽_유지,
Q14,A3_B3_P1_2022-06-17_IR1_00062,P1,몰드변압기 접촉부,1+4,4,1,0.00374,0.00518,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.663),Q14.png,작은쪽_유지,
Q15,A3_B3_P1_2022-06-17_IR1_00083,P1,철심부,1+2,1,2,0.03754,0.07168,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.522),Q15.png,큰쪽_유지,
Q16,A3_B4_P1_2022-06-17_IR1_00020,P1,몰드변압기 접촉부,0+4,0,4,0.0028,0.01292,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.196),Q16.png,큰쪽_유지,
Q17,A3_B4_P1_2022-06-17_IR1_00020,P1,몰드변압기 접촉부,6+7,7,6,0.00258,0.01477,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.158),Q17.png,큰쪽_유지,
Q18,A3_B4_P1_2022-06-17_IR1_00020,P1,몰드변압기 접촉부,6+8,8,6,0.00401,0.01477,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.251),Q18.png,큰쪽_유지,
Q19,A3_B4_P1_2022-06-17_IR1_00020,P1,몰드변압기 접촉부,7+8,7,8,0.00258,0.00401,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.630),Q19.png,둘다_제외,
Q20,A3_B4_P1_2022-06-17_IR1_00082,P1,몰드변압기 접촉부,1+2,2,1,0.00518,0.00982,한 박스가 다른 박스를 완전히 포함한다 — 같은 인스턴스 이중 라벨 (IoU 0.527),Q20.png,큰쪽_유지,
