# VCB 접촉부 annotation unit 판정표 — 사람이 채운다,,,,,,,
# 이미지: experiments/data_audit/vcb_contact/<case_id>.png,,,,,,,
#   빨강 C = 기존 VCB 접촉부 박스 · 주황 H = 케이블헤드 박스,,,,,,,
# visible_contact_points: 눈으로 세어 실제 보이는 접속점 개수,,,,,,,
# verdict: CONTACT_POINT / TERMINAL_GROUP / PARTIAL_LABELING / 판단불가,,,,,,,
#   CONTACT_POINT    박스 1개 = 접속점 1개. 보이는 수와 박스 수가 같다,,,,,,,
#   TERMINAL_GROUP   박스 1개가 여러 접속점을 묶고 있다,,,,,,,
#   PARTIAL_LABELING 보이는 것보다 박스가 적다 (미작업 의심 · 근거로 쓰지 않는다),,,,,,,
#   판단불가          이미지로 셀 수 없다,,,,,,,
case_id,image,n_vcb_contact,n_cable_head,image_file,visible_contact_points,verdict,note
VC01,A1_B1_P6_2022-05-12_IR1_00003,1,3,VC01.png,,CONTACT_POINT,
VC02,A1_B1_P6_2022-05-12_IR1_00005,3,3,VC02.png,,CONTACT_POINT,
VC03,A1_B1_P6_2022-05-12_IR1_00049,1,0,VC03.png,,PARTIAL_LABELING,
VC04,A1_B1_P6_2022-06-17_IR1_00021,1,0,VC04.png,,CONTACT_POINT,
VC05,A1_B2_P6_2022-05-12_IR1_00012,1,0,VC05.png,,PARTIAL_LABELING,
VC06,A1_B2_P6_2022-05-12_IR1_00016,1,0,VC06.png,,CONTACT_POINT,
VC07,A1_B2_P6_2022-05-12_IR1_00021,2,0,VC07.png,,CONTACT_POINT,
VC08,A1_B2_P6_2022-05-12_IR1_00026,2,0,VC08.png,,PARTIAL_LABELING,
VC09,A1_B2_P6_2022-05-12_IR1_00028,1,0,VC09.png,,PARTIAL_LABELING,
VC10,A1_B2_P6_2022-05-12_IR1_00030,2,0,VC10.png,,CONTACT_POINT,
VC11,A1_B2_P6_2022-05-12_IR1_00039,1,0,VC11.png,,CONTACT_POINT,
VC12,A1_B2_P6_2022-05-12_IR1_00047,1,0,VC12.png,,CONTACT_POINT,
VC13,A1_B3_P6_2022-05-24_IR1_00006,1,2,VC13.png,,CONTACT_POINT,
VC14,A1_B3_P6_2022-05-24_IR1_00012,1,3,VC14.png,,PARTIAL_LABELING,
VC15,A1_B3_P6_2022-05-24_IR1_00060,2,0,VC15.png,,CONTACT_POINT,
