panel_id,panel_folder,panel_priority,order,class_id,guide_no,class_name,canonical_name,label_status,provisional
P1,P1-TR반,1,1,0,1,core_iron,철심부,주의,0
P1,P1-TR반,1,2,1,2,epoxy_surface,에폭시 표면,가공,0
P1,P1-TR반,1,3,2,3,mold_tr_contact,몰드변압기 접촉부,가공,0
P1,P1-TR반,1,4,10,11,silencer_power_fuse,소음기부착형 전력퓨즈,가공,0
P2,P2-LBS&LA반,2,1,3,4,lbs,LBS,가공,0
P2,P2-LBS&LA반,2,2,5,6,cl_power_fuse,한류형 전력퓨즈,가공,0
P2,P2-LBS&LA반,2,3,6,7,la,LA,가공,0
P2,P2-LBS&LA반,2,4,13,14,cable_head,케이블헤드,가공,0
P2,P2-LBS&LA반,2,5,4,5,lbs_primary,LBS 1차측 접촉부,가공,0
P2,P2-LBS&LA반,2,6,22,23,lbs_secondary,LBS 2차측 접촉부,가공,0
P3,P3-MOF반,3,1,8,9,ct_transformer,변류기,가공,1
P3,P3-MOF반,3,2,9,10,ncl_power_fuse,비한류형 전력퓨즈,가공,1
P3,P3-MOF반,3,3,24,25,ct_transformer_contact,변류기 접촉부,가공,1
P4,P4-MOF&PT반,3,1,7,8,transformer,변압기,가공,0
P4,P4-MOF&PT반,3,2,8,9,ct_transformer,변류기,가공,0
P4,P4-MOF&PT반,3,3,9,10,ncl_power_fuse,비한류형 전력퓨즈,가공,0
P4,P4-MOF&PT반,3,4,23,24,transformer_contact,변압기 접촉부,가공,0
P4,P4-MOF&PT반,3,5,24,25,ct_transformer_contact,변류기 접촉부,가공,0
P4,P4-MOF&PT반,3,6,11,12,mold_pt,몰드타입 PT,가공,0
P5,P5-PF&PT반,4,1,10,11,silencer_power_fuse,소음기부착형 전력퓨즈,가공,0
P5,P5-PF&PT반,4,2,11,12,mold_pt,몰드타입 PT,가공,0
P5,P5-PF&PT반,4,3,13,14,cable_head,케이블헤드,가공,0
P5,P5-PF&PT반,4,4,19,20,incoming_contact,인입선로 접촉부,가공,0
P6,P6-VCB반,5,1,14,15,vcb_contact,VCB 접촉부,가공,0
P6,P6-VCB반,5,2,13,14,cable_head,케이블헤드,가공,0
P6,P6-VCB반,5,3,15,16,ct,CT,가공,0
P6,P6-VCB반,5,4,16,17,sa,SA,가공,0
P7,P7-VCB&CT반,8,1,14,15,vcb_contact,VCB 접촉부,가공,0
P7,P7-VCB&CT반,8,2,15,16,ct,CT,가공,0
P7,P7-VCB&CT반,8,3,25,26,ct_contact,CT 접촉부,주의,0
P8,P8-ACB반,9,1,17,18,capacitor,콘덴서,가공,0
P8,P8-ACB반,9,2,18,19,mccb,MCCB,가공,0
P8,P8-ACB반,9,3,27,28,mccb_contact,MCCB 접촉부,주의,0
P8,P8-ACB반,9,4,26,27,acb_contact,ACB 접촉부,주의,0
P9,P9-MCCB반,10,1,18,19,mccb,MCCB,가공,1
P9,P9-MCCB반,10,2,27,28,mccb_contact,MCCB 접촉부,주의,1
P10,P10-ACB&MCCB반,9,1,17,18,capacitor,콘덴서,가공,0
P10,P10-ACB&MCCB반,9,2,18,19,mccb,MCCB,가공,0
P10,P10-ACB&MCCB반,9,3,27,28,mccb_contact,MCCB 접촉부,주의,0
P10,P10-ACB&MCCB반,9,4,26,27,acb_contact,ACB 접촉부,주의,0
